measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44714,Birmingham,3,Both,22,All ages,1,Number,2021,1197270.989612542,1423606.0863697997,987951.350376455
44,Population,556,North Carolina,3,Both,22,All ages,1,Number,2021,10491294.336777575,11580096.711116977,9445532.526291505
44,Population,4870,Tamil Nadu,3,Both,22,All ages,1,Number,2021,80204568.3514726,96358641.23765218,65044549.26620295
44,Population,35437,Kanagawa,3,Both,22,All ages,1,Number,2021,9376015.250690136,10357080.803582836,8415522.350646418
44,Population,35624,HomaBay,3,Both,22,All ages,1,Number,2021,1170101.5400113864,1329041.1151649067,1025678.8004843681
44,Population,205,Côte d'Ivoire,3,Both,22,All ages,1,Number,2021,27861875.5361122,31146596.903091963,24857066.44059437
44,Population,44852,Tigray,3,Both,22,All ages,1,Number,2021,6228789.436077665,7590597.301403686,4897754.321923587
44,Population,35630,Kilifi,3,Both,22,All ages,1,Number,2021,1575518.6865451676,1785248.827033755,1391212.129571585
44,Population,44638,North America,3,Both,22,All ages,1,Number,2021,370176171.5334188,393857992.9010813,346065304.8675408
44,Population,4872,Tripura,3,Both,22,All ages,1,Number,2021,4137894.7891478166,4902301.367512691,3408797.045566684
44,Population,44651,Middlesbrough,3,Both,22,All ages,1,Number,2021,139080.27977425826,169189.61959671503,112244.93540425115
44,Population,124,Central Latin America,3,Both,22,All ages,1,Number,2021,253001893.52644014,264759467.3766713,242163392.2506795
44,Population,35619,Bungoma,3,Both,22,All ages,1,Number,2021,1846752.5096389141,2101859.878076519,1620203.6451273914
44,Population,559,Oklahoma,3,Both,22,All ages,1,Number,2021,3973400.2416846794,4376821.51713278,3552262.0843447847
44,Population,134,Tropical Latin America,3,Both,22,All ages,1,Number,2021,227524880.62837055,258236382.48655406,196124006.2926766
44,Population,44650,Gateshead,3,Both,22,All ages,1,Number,2021,212800.53366145887,255165.8589549072,173336.3078976507
44,Population,44773,Portsmouth,3,Both,22,All ages,1,Number,2021,223859.73222027553,268389.64581602835,184135.8988428281
44,Population,44587,African Union,3,Both,22,All ages,1,Number,2021,1383292868.2118564,1433265595.7399821,1336602048.545061
44,Population,44727,Richmond upon Thames,3,Both,22,All ages,1,Number,2021,200461.77895743077,238273.84444408567,164686.583118679
44,Population,4618,North East England,3,Both,22,All ages,1,Number,2021,2678010.438550648,3065150.8192313425,2270976.845918281
44,Population,199,Western Sub-Saharan Africa,3,Both,22,All ages,1,Number,2021,489827997.5386692,517875772.442331,462150430.32758534
44,Population,4875,West Bengal,3,Both,22,All ages,1,Number,2021,100081970.810993,118501523.24653722,82667051.27039845
44,Population,553,New Jersey,3,Both,22,All ages,1,Number,2021,9317744.20743193,10309637.023900656,8403610.852549523
44,Population,63,Ukraine,3,Both,22,All ages,1,Number,2021,43077810.631947994,51395396.64240336,34632975.19925576
44,Population,4729,West Kalimantan,3,Both,22,All ages,1,Number,2021,5634649.704579623,6252605.931420725,5044591.64906562
44,Population,4724,East Java,3,Both,22,All ages,1,Number,2021,41988058.416365385,46178722.69860595,37781682.07875438
44,Population,4855,Jharkhand,3,Both,22,All ages,1,Number,2021,39071152.12433459,46483260.32102484,32720076.059538968
44,Population,44716,Bedford,3,Both,22,All ages,1,Number,2021,168447.94776645157,202651.70095679737,134511.49248849752
44,Population,44788,Torbay,3,Both,22,All ages,1,Number,2021,132304.97166453334,159368.9009566037,109152.56202023734
44,Population,202,Cameroon,3,Both,22,All ages,1,Number,2021,31779632.65386256,37155144.6670339,26654453.696512714
44,Population,200,Benin,3,Both,22,All ages,1,Number,2021,13499174.524550674,15141762.296495182,11844120.646655126
44,Population,4874,Uttarakhand,3,Both,22,All ages,1,Number,2021,12126125.86036546,14591745.09904062,9996531.060041053
44,Population,131,Nicaragua,3,Both,22,All ages,1,Number,2021,6668976.123793645,7774782.664987351,5591378.231968761
44,Population,49,North Macedonia,3,Both,22,All ages,1,Number,2021,2176435.003604734,2587977.966500055,1797240.18158394
44,Population,4730,Central Kalimantan,3,Both,22,All ages,1,Number,2021,2757291.5952559425,3040887.6798660397,2454711.473650905
44,Population,58,Estonia,3,Both,22,All ages,1,Number,2021,1310833.8831970918,1432717.5912105546,1188263.9740187947
44,Population,117,Saint Vincent and the Grenadines,3,Both,22,All ages,1,Number,2021,114075.2638159588,128987.83125556221,100055.52868028343
44,Population,35629,Kiambu,3,Both,22,All ages,1,Number,2021,2579797.3219865137,2918130.7726220028,2277339.213126679
44,Population,68,Republic of Korea,3,Both,22,All ages,1,Number,2021,51570479.88668778,55126697.01844601,47776721.32037961
44,Population,44709,Coventry,3,Both,22,All ages,1,Number,2021,336249.31102761935,402945.7474960508,271820.27903954947
44,Population,560,Oregon,3,Both,22,All ages,1,Number,2021,4269592.182921769,4728358.604079046,3833988.711351613
44,Population,35435,Chiba,3,Both,22,All ages,1,Number,2021,6383843.954769757,7063654.0224749455,5674568.409169617
44,Population,35441,Fukui,3,Both,22,All ages,1,Number,2021,775451.5159996541,863815.3257264207,695047.5180442277
44,Population,44644,Northumberland,3,Both,22,All ages,1,Number,2021,323743.94696497906,389458.1100029853,261607.07377723532
44,Population,35628,Kericho,3,Both,22,All ages,1,Number,2021,1035001.493392668,1173195.7402778596,913127.73483915
44,Population,44856,Somali,3,Both,22,All ages,1,Number,2021,6968242.658264173,8497185.936387502,5464901.464593896
44,Population,44654,Hartlepool,3,Both,22,All ages,1,Number,2021,94521.72317930016,113692.60492785255,77828.19221335575
44,Population,138,North Africa and Middle East,3,Both,22,All ages,1,Number,2021,623000063.9149245,646199540.9244655,599577886.5805889
44,Population,44718,Suffolk,3,Both,22,All ages,1,Number,2021,792021.9642435627,939604.5744132434,646551.731819376
44,Population,563,South Carolina,3,Both,22,All ages,1,Number,2021,5156427.351644177,5711282.88118898,4640047.555954775
44,Population,209,Guinea-Bissau,3,Both,22,All ages,1,Number,2021,2063911.2208920193,2338904.0720004747,1780340.5229450925
