measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,4659,Morelos,3,Both,22,All ages,1,Number,2023,2054522.0769270544,2322387.8874076856,1796844.4542751089
44,Population,4660,Nayarit,3,Both,22,All ages,1,Number,2023,1283244.4139156959,1449299.554855244,1123056.7065122337
44,Population,126,Costa Rica,3,Both,22,All ages,1,Number,2023,5207124.3865445275,5593319.999352645,4845188.419563443
44,Population,125,Colombia,3,Both,22,All ages,1,Number,2023,52116640.66311791,57217435.19772649,47193434.73314595
44,Population,433,Northern Ireland,3,Both,22,All ages,1,Number,2023,1958863.5378841816,2110255.693114818,1812747.7799827743
44,Population,1,Global,3,Both,22,All ages,1,Number,2023,8065827257.720699,8320853811.518732,7804315437.20555
44,Population,434,Scotland,3,Both,22,All ages,1,Number,2023,5574758.59567481,5981645.845512649,5164703.422470523
44,Population,189,United Republic of Tanzania,3,Both,22,All ages,1,Number,2023,65422006.74644195,70558234.86988123,60470476.20452381
44,Population,538,Iowa,3,Both,22,All ages,1,Number,2023,3227130.949129714,3615926.3201398137,2842979.0713419686
44,Population,64,High-income,3,Both,22,All ages,1,Number,2023,1103602690.5069733,1138135931.1724007,1069223823.6492286
44,Population,127,El Salvador,3,Both,22,All ages,1,Number,2023,6186970.613467024,7193186.233816821,5148896.308858879
44,Population,539,Kansas,3,Both,22,All ages,1,Number,2023,2937071.993495683,3309387.368215329,2590629.580776809
44,Population,4661,Nuevo León,3,Both,22,All ages,1,Number,2023,6206522.908485238,6992891.105414914,5474604.904699548
44,Population,540,Kentucky,3,Both,22,All ages,1,Number,2023,4537802.574431005,5111665.1790499445,3972138.598502448
44,Population,541,Louisiana,3,Both,22,All ages,1,Number,2023,4570683.393089596,5146552.217236803,4013885.290034066
44,Population,4662,Oaxaca,3,Both,22,All ages,1,Number,2023,4281869.702851752,4865166.60680405,3757424.5122752674
44,Population,128,Guatemala,3,Both,22,All ages,1,Number,2023,16472644.783374343,18061389.413241517,14832567.630522588
44,Population,67,Japan,3,Both,22,All ages,1,Number,2023,124672696.77580869,135882358.89456913,113254280.05760475
44,Population,435,South Sudan,3,Both,22,All ages,1,Number,2023,9851643.164669603,11407306.81565301,8293051.848176054
44,Population,478,World Bank Regions,3,Both,22,All ages,1,Number,2023,8059613294.308448,8314619500.530767,7798073319.392382
44,Population,191,Zambia,3,Both,22,All ages,1,Number,2023,20949918.395812504,22515892.34854725,19350722.774764154
44,Population,66,Brunei Darussalam,3,Both,22,All ages,1,Number,2023,459888.6238697574,497635.64079961187,424863.4099413541
44,Population,129,Honduras,3,Both,22,All ages,1,Number,2023,10715855.002519427,12122873.099844443,9366971.461176721
44,Population,192,Southern Sub-Saharan Africa,3,Both,22,All ages,1,Number,2023,88561244.8168496,93561035.51629151,83861592.45237178
44,Population,542,Maine,3,Both,22,All ages,1,Number,2023,1399207.3818067964,1573805.9225765504,1230250.9468165443
44,Population,482,Eastern Cape,3,Both,22,All ages,1,Number,2023,7437353.284484953,8214808.313191475,6704248.1384908995
44,Population,4663,Puebla,3,Both,22,All ages,1,Number,2023,6932053.62596098,7794529.140428472,6054343.672976696
44,Population,194,Lesotho,3,Both,22,All ages,1,Number,2023,1919025.119449959,2143060.1976062744,1715214.9635840098
44,Population,7,Democratic People's Republic of Korea,3,Both,22,All ages,1,Number,2023,26410614.946512144,30739854.99759107,22436988.341974135
44,Population,545,Michigan,3,Both,22,All ages,1,Number,2023,10127566.662143167,11389073.642659407,8899604.013365133
44,Population,4665,Quintana Roo,3,Both,22,All ages,1,Number,2023,2057847.965544603,2336267.9341042223,1812007.216873431
44,Population,68,Republic of Korea,3,Both,22,All ages,1,Number,2023,51698782.84719111,56188747.0401136,46933158.80737819
44,Population,5,East Asia,3,Both,22,All ages,1,Number,2023,1480271944.5695426,1596205240.5840755,1350174449.26288
44,Population,543,Maryland,3,Both,22,All ages,1,Number,2023,6165389.797710344,6929075.37482031,5420535.448223837
44,Population,132,Panama,3,Both,22,All ages,1,Number,2023,4200743.337313182,4491614.198785318,3919883.5840942636
44,Population,4758,Goiás,3,Both,22,All ages,1,Number,2023,7366561.699208922,8146314.8809849145,6655206.7101142425
44,Population,4759,Maranhão,3,Both,22,All ages,1,Number,2023,7302241.555352836,8080301.760477691,6565097.746790217
44,Population,484,Gauteng,3,Both,22,All ages,1,Number,2023,15654449.13318958,17203797.162064563,14259564.617423907
44,Population,4664,Querétaro,3,Both,22,All ages,1,Number,2023,2580869.0903446195,2897777.325715033,2262310.0252115205
44,Population,134,Tropical Latin America,3,Both,22,All ages,1,Number,2023,218397056.395397,234583754.53214544,203059423.55903125
44,Population,71,Australia,3,Both,22,All ages,1,Number,2023,26949919.739718527,29062828.626121845,24676834.882099148
44,Population,130,Mexico,3,Both,22,All ages,1,Number,2023,131916179.36887185,143800056.14054462,120388180.35273965
44,Population,131,Nicaragua,3,Both,22,All ages,1,Number,2023,6810976.328769942,8056945.301724268,5648002.7861901065
44,Population,196,South Africa,3,Both,22,All ages,1,Number,2023,64065398.02356905,68823169.8092809,59595860.81144176
44,Population,190,Uganda,3,Both,22,All ages,1,Number,2023,45601851.86092502,51375540.42844399,40040897.88044461
44,Population,6,China,3,Both,22,All ages,1,Number,2023,1430645083.6484091,1545602237.266098,1303345333.357927
44,Population,193,Botswana,3,Both,22,All ages,1,Number,2023,2444923.8932038248,2619287.839719169,2261009.0038250387
44,Population,486,Limpopo,3,Both,22,All ages,1,Number,2023,6754818.4890094865,7461208.233322254,6085442.6347820945
44,Population,198,Zimbabwe,3,Both,22,All ages,1,Number,2023,15934617.070484016,17129544.10444945,14834108.276614532
44,Population,72,New Zealand,3,Both,22,All ages,1,Number,2023,5119109.47330908,5480603.309043402,4767310.982895897
44,Population,133,Venezuela (Bolivarian Republic of),3,Both,22,All ages,1,Number,2023,25654506.430237323,29342529.51594598,22253656.342114102
44,Population,483,Free State,3,Both,22,All ages,1,Number,2023,3038353.7014086717,3357374.166396796,2716314.0390655226
44,Population,4669,Tabasco,3,Both,22,All ages,1,Number,2023,2492870.11092927,2812771.5901129087,2191293.550546766
44,Population,4,"Southeast Asia, East Asia, and Oceania",3,Both,22,All ages,1,Number,2023,2209174151.1535435,2334907599.676058,2076599924.8491387
44,Population,65,High-income Asia Pacific,3,Both,22,All ages,1,Number,2023,182523280.3948707,194537917.94531137,170315188.4834986
44,Population,25330,Ekiti,3,Both,22,All ages,1,Number,2023,1692627.538131265,2009676.693265454,1407973.327693884
44,Population,4666,San Luis Potosí,3,Both,22,All ages,1,Number,2023,2931007.8613985786,3305304.9570703795,2575123.377142347
