location_id,location_level,iso3,estimate,location_name,country,region,income_group,Absences,AllCause_Deaths,AllCause_YLDs,AllCause_YLLs,Asthma.Inci.1to18,Asthma.Prev.0to99,Asthma.Prev.1to18,COPD_Deaths,COPD_YLDs,COPD_YLLs,Dementia_Deaths,Dementia_YLDs,Dementia_YLLs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,exac.0to17,exac.0to99,exac.18to99,IHD_Deaths,IHD_YLDs,IHD_YLLs,LBW,LC_Deaths,LC_YLDs,LC_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,NCD_Deaths,NCD_YLDs,NCD_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,pop,PTB,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,TotCV_Deaths,TotCV_YLDs,TotCV_YLLs,TotResp_Deaths,TotResp_YLDs,TotResp_YLLs
160,3,AFG,central,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,224343.99360533536,249.79458971296697,6496.937834906309,7114.669468016135,1130.3564352048138,4800.26382463511,3153.768551708261,7.329433792748971,57.414968688957615,178.97807777323737,3.383921734320228,26.630407812939165,52.313151405719225,6.77091523645182,357.92773604965873,177.90293417992794,1085.0386598269697,1771.3510413217025,686.312384253968,59.10714795875758,73.59433001381878,1465.9420917840307,NA,1.9227235939814635,0.4439729713643124,51.55808137280463,5.745594035994606,1.2242217643056268,163.1843282483129,26.693960695342216,2386.790554837406,200.17801131429437,4000.4971098207666,5077.849315017843,202.11115081828513,3301.753804655719,5001.950303106606,18.16818068702804,55.36622923449924,437.93574289932525,3.4503513672423605,58.116962133549386,95.81801857503767,36241925.06308572,386.3177087402343,59.6779174557001,80.81902390140692,1379.7479221292322,136.9532461014858,209.7795831497247,3285.0738921821885,10.779785159991333,115.5319308225069,274.79609634827483
160,3,AFG,high,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,224343.99360533536,267.90088768115425,8271.637291819385,7643.4456181421665,1852.1389022181406,6089.44824811595,4930.148340205474,10.957755778518441,66.93655114332935,270.19672011367743,8.851970623118877,33.96162369958628,138.21219731409568,10.309675283101317,480.3649911509324,261.32318037582365,1085.0386598269697,1771.3510413217025,686.312384253968,77.91799690021995,99.57244352855056,1885.5065389032015,NA,2.862181009902631,0.7376462990625218,77.80492730054263,8.794647014676631,1.676239637362138,246.6039438681155,37.47343940460475,3351.0389097537022,218.67425203549672,5132.8435683488,5556.422466698374,248.68692107351998,4222.956918780929,6204.838037915503,28.07443226126973,68.32250686257532,668.7708913048024,5.642747640723496,81.92524087456096,154.82389882610096,36241925.06308572,386.3177087402343,74.51552756645938,102.12317001945259,1765.0096908396013,153.78307627574875,268.8571059585199,3788.3342591985656,14.984549961872872,147.15641990587648,392.3944122330186
160,3,AFG,low,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,224343.99360533536,231.5045750458935,4962.421806329087,6639.789126597505,614.3665822470135,3812.21869886047,1943.3511183598207,4.164102295210681,47.48350679735414,97.265911216548,0.7280377396222204,19.125201098088827,11.340554030532054,3.8792011454950455,245.03985406740154,101.94242358283604,1085.0386598269697,1771.3510413217025,686.312384253968,44.483996781413175,51.87473394840486,1090.450722713771,NA,1.3132500669409672,0.2631170621799216,34.6171137575194,3.76287237155339,0.8277595805937135,104.53038422879695,17.88380640708922,1598.9031286749764,181.06350763100866,3045.393524007866,4569.116764047819,161.8289540892848,2498.0203964026814,3967.112666060064,8.261929112786351,42.40995160642314,207.10059449384812,1.2579550937612245,34.30868339253781,36.81213832397438,36241925.06308572,386.3177087402343,46.06743611801709,57.917733890440516,1049.9007413138536,122.06385771378625,153.87069661575507,2848.3716790516005,7.596824210119197,88.37444532311456,190.4791734688301
43,3,ALB,central,Albania,Albania,Europe & Central Asia,Upper middle income,445322.9412063979,850.9866588514258,12051.546329767465,15557.733582822917,153.56480142395753,3879.32896961868,686.4803672918216,29.713874113539678,392.0613750971033,452.291557782381,42.45026833544085,205.68200042675483,538.6232523896697,8.569477052574735,500.45877015351834,154.23272943041437,273.58781264951364,841.3186421141602,567.7308307017514,208.9517191958551,209.8205349000082,3446.762118701126,64.184606785778,43.81453692208194,9.848250676041225,1003.855912312461,18.98589384665795,0.853471231725982,318.601821088665,0.846163853679343,75.62033423798893,772.5484920247682,9800.99372953924,13618.723732136057,790.0016540005631,9388.946018551042,13841.283951336896,57.87698710608279,323.1761053998273,912.8433061191108,15.433380749182383,132.63400666109754,264.13309375186634,2425016.584528695,93.75946446418763,169.01633733832932,237.13688895174627,2551.149367338352,435.84504364026736,770.1335292515821,6951.128699493566,45.14725486272209,524.695381758201,716.424651534247
43,3,ALB,high,Albania,Albania,Europe & Central Asia,Upper middle income,445322.9412063979,898.635676976421,15284.218303884025,16333.254377493859,248.375020205783,4757.8997023033,1027.1676983327047,49.648445397700065,479.1731412017223,711.960839940271,106.50976808057104,264.2075811320393,1383.779154743893,11.03149496263477,677.9033515972911,198.74094629875944,273.58781264951364,841.3186421141602,567.7308307017514,246.98007727571814,282.3713430617573,4053.8866653694645,64.184606785778,54.55297046469761,13.537008306479313,1274.5701477767125,25.90426634986,1.196823322341447,422.9476887902402,1.253082166669037,111.8875536244153,817.1956483144062,12459.614481104494,14332.495794362518,890.763116438919,12072.417259032538,15841.142591702679,68.75018105539613,408.6717088959496,1088.3587508432568,25.071985567341084,184.25522244583183,417.4519812549308,2425016.584528695,93.75946446418763,215.3648399369493,300.2452437378422,3216.334568640375,491.34919684645075,1012.6227426410808,7713.868297050072,74.45682254680368,638.8943818286174,1170.7660087016484
43,3,ALB,low,Albania,Albania,Europe & Central Asia,Upper middle income,445322.9412063979,807.8026676715826,9230.523136458847,14770.109554823257,83.75890435855199,3081.9025302527,450.01367379268726,20.421726447532368,311.3714106853366,314.54871091779154,10.206855585742968,142.23887514329633,128.47014720942707,6.303037581972539,343.208797852517,114.39592464145905,273.58781264951364,841.3186421141602,567.7308307017514,166.88264311234562,141.71639823638043,2824.2201773763672,64.184606785778,37.12383624424021,6.388915055829442,854.5675245867832,13.466558498772942,0.5738223612384351,229.58742899066115,0.4987649032110682,44.55838778760092,731.8198031575306,7471.647144688928,12871.81383293678,704.4731580360273,7059.038273276517,12107.081182321786,47.00379315676945,237.68050190370496,737.3278613949649,5.794775931023683,81.01279087636325,110.8142062488019,2425016.584528695,93.75946446418763,134.32152491434644,171.95559836990026,2061.2064282101423,376.017128725635,570.18084340401,6081.789074429474,32.84226047430819,412.8968919964707,525.6374248259161
139,3,DZA,central,Algeria,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,273062.24418970686,469.46990443727935,8797.459380743128,11084.614967234113,564.9413393723971,5019.86524805257,2086.151398640193,14.021546069950471,134.27939680604004,251.360007241216,18.98175190314051,95.84083432474112,253.90608025282214,18.008703767991726,811.2213015689813,384.6443460612973,775.1621462238676,1959.1220909171693,1183.9599446933012,136.89642683178855,136.0565637532055,3044.0487362819476,167.392834312902,6.999332946735055,1.6883402089641928,182.95440138600011,13.188484409488968,1.9032643894921082,260.3256412414353,1.8863190141667412,168.41782777131274,417.1094068584355,7653.267078171536,9331.308030205972,426.75135217992,7025.094738530724,9369.509102413316,44.59351639446892,159.65719030327912,919.7920083861436,6.248804695512533,113.86511125408492,129.03351593218966,44482246.157105125,313.39910070133215,61.52695352611879,124.01405125777738,1277.5718179053945,243.01689675237634,419.7278053142619,5250.740073809886,20.27035076546301,248.14450806012505,380.3935231734059
139,3,DZA,high,Algeria,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,273062.24418970686,484.24086983878914,11285.060341085027,11436.114692146024,936.3377787379217,6226.4330526774,3133.1849541788915,19.215588903493185,157.6272080508893,347.6573017690198,49.55720751889784,123.93404543600914,646.8164750443879,27.423646456955883,1089.28608768094,582.4501911040419,775.1621462238676,1959.1220909171693,1183.9599446933012,171.68652867618803,181.76176344823693,3852.9647061639325,167.392834312902,10.25479855069297,2.729479237623908,266.7180886086754,19.498199170549466,2.661698495373313,382.9447866275129,2.8590526273867294,255.47358467040158,434.1430264490545,9753.897803269616,9758.299936567448,470.69057532962233,9014.812716141958,10418.67775580419,60.86320793719533,198.26764229703122,1242.8766968224754,8.576369533269604,162.8713740806174,175.7219997124529,44482246.157105125,313.39910070133215,87.94081713895548,157.13968988474753,1839.1139189243167,292.945922182941,545.2001230949063,6434.629563209927,27.756294996945734,311.8534400491813,521.3597327295151
139,3,DZA,low,Algeria,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,273062.24418970686,454.23366688910835,6708.5709426805015,10753.607547048701,301.7094976951389,4157.8069854059495,1366.6409716202872,9.613378065315198,110.37297243126143,171.27567399905303,4.490650024475179,66.629644099794,55.864959078198154,10.441076024233444,559.7840236718071,229.30150102959726,775.1621462238676,1959.1220909171693,1183.9599446933012,108.78562982594705,93.41237145239944,2407.7957167054033,167.392834312902,4.650373909432492,0.9804427858872968,119.03343904802303,7.653200793511714,1.2877937971096058,152.36269998837008,1.250290777644344,111.52666170898021,399.5978552541378,5814.930953507582,8887.618253865385,387.45802096581576,5301.89557577042,8426.587325290418,28.32382485174251,121.04673830952702,596.7073199498119,3.9212398577554617,64.85884842755246,82.3450321519264,44482246.157105125,313.39910070133215,42.62670624478064,92.72172352262993,872.4066034846206,200.96234790809163,314.01154313094025,4373.577687376394,13.874388952444898,189.11977713803694,261.6209223854643
298,3,ASM,central,American Samoa,American Samoa,East Asia & Pacific,High income,NA,746.4778681251463,8699.267588160514,20201.632381290918,973.2772289832636,7275.8894958244,3949.714948571004,30.862507409250107,87.32000883291232,641.4235062643168,11.320961648337821,70.34455752910137,170.35964894388187,90.00040163881413,1381.4742377572668,2330.860585388114,1315.3875336392189,2676.786677067712,1361.3991475115074,141.65220592922444,149.5019940426623,3785.8447303969324,NA,28.3590001281308,6.228660403800188,741.0101527727679,18.569512657284413,1.8734897274474234,452.20848392692824,1.8181512384360754,162.2099816078473,655.3603923364159,7479.0083499598395,17344.70072300923,668.2147786365879,7049.596169856566,17438.85098491256,34.419959443280604,110.12692796136405,903.382672441344,8.804733581264102,121.60223046999207,229.313585328382,48983.41549713386,NA,78.48200086338714,212.6678054550115,1934.78169738115,254.5541662358923,472.296727459038,6676.851871751029,39.66724099051425,208.9222393029045,870.7370915926982
