location_id,location_level,iso3,estimate,location_name,country,region,income_group,pop,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,TotCV_Deaths,TotResp_Deaths,TotCV_YLLs,TotResp_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,AllCause_YLDs,COPD_YLDs,Dementia_Deaths,Dementia_YLDs,Dementia_YLLs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,TotCV_YLDs,TotResp_YLDs,birth.rate,labor.partic
160,3,AFG,central,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,558.2256050760689,2279.230589589073,1027.335967360846,649.8140787921017,386.3177087402343,NA,9.859870793824353,239.26819543126464,386.91580516376877,12038.059595068538,224343.99360533536,158.6560858628928,17.365838805313043,4322.143824562784,447.16897712943967,280.26104820633117,3088.117795085883,7654.2767160977755,35.974014539069564,3168.944771648039,5508.875498680941,75.62023737871418,4.636937978385839,19.567297762067497,61.25899123433254,11.219700617375786,263.18674285466494,303.24288489642197,89.65527226939876,24.217321126127196,2491.533991959505,3.859481392224558,0.887525017549005,112.79287805202,9.868633708492128,2.643505952107428,254.95737046386276,26.15425360075826,38.28682135762786,690.9913009082293,7.505968011488669,61.28046026744137,207.9007816981757,42.84655999273573,91.74349247035377,1139.6185316950493,154.2476349541088,136.90069764615555,37.138,44.991
160,3,AFG,high,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,897.7893012807632,3447.4279420350763,1027.335967360846,649.8140787921017,386.3177087402343,NA,12.91695432798475,319.35603908783145,467.7379333664802,15192.24671817239,224343.99360533536,191.74337038357095,21.327224314823066,5434.130925232797,568.1205401798186,341.68334738090385,4050.261171534655,9687.958874330237,48.437897062129174,4264.407725478461,7322.631411378962,88.1829656803282,12.542154357717854,26.561783065050747,169.34779363063117,16.567221399013125,371.69621844353964,460.9529207010424,110.64085064897337,35.01631236455813,3232.864103873046,6.101524233195363,1.4990625366962609,182.01078033065804,12.200395667548845,3.6821783711310108,332.2199606265086,36.544733309173786,46.49446716957116,957.2367259986456,10.156541728854847,81.77965323870592,282.7485800868028,56.148945656466864,115.39674766202623,1511.9972348053047,195.20693466322246,168.22300862786105,37.138,44.991
160,3,AFG,low,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,306.9344731476227,1445.848984930103,1027.335967360846,649.8140787921017,386.3177087402343,NA,6.222952377281728,153.70181767024968,315.6953291010994,9605.440362911124,224343.99360533536,125.760937862571,13.245827330334219,3341.4091081970846,332.94603359035136,219.30027995901293,2267.1119389765536,5830.882885629886,25.290137935905445,2229.2807823849294,4014.397269678215,60.518854751747874,1.102613242400863,13.771631260395225,14.469173562858968,6.491880369082619,173.6607107335784,170.94705207558005,69.84724141881911,16.148107864921872,1887.1858994916088,2.294530340509584,0.4523567864995366,62.9636897233905,7.674382546460263,1.7414503063050386,194.67088474408447,15.763773892342734,30.079175545684556,424.7458758178129,4.85539429412249,40.78126729617682,133.0529833095486,29.859666196031245,67.23623251133773,799.3808201725986,112.86574707706318,105.1026610044946,37.138,44.991
43,3,ALB,central,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,173.3015931340942,686.8501947964212,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,22.11880012977473,320.42099958893573,803.7716418408164,14138.875771203504,445322.9412063979,471.9116283689804,29.798113616862075,7267.821829723343,450.2933583202979,773.4750625028565,7460.649052893336,13010.071153295336,2.4069205339860713,209.79558754856816,9896.832151196408,133.7940596787732,33.698317742107236,173.5431394421992,374.8174621473985,5.485901544920947,432.04902831572804,97.41041155011727,220.26566363947737,126.49312667652441,3552.4495579514632,42.44686579103382,9.832961604315,934.6183962155412,13.931126204710742,3.560250095664871,206.8912359687372,46.57518831624942,245.4255650273677,747.3785707786402,7.679313487087362,93.68098421201375,129.87235873136237,205.0707764132543,283.63766988746045,2967.993700993238,655.5563615913525,227.47504389078696,10.757,69.661
43,3,ALB,high,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,282.22643644556473,1081.8610029230517,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,28.599606966026155,427.60911195172173,1010.1731170744707,18163.03097596878,445322.9412063979,593.008448305603,38.56355548782114,9287.172270928397,604.0440872770577,972.2289033546234,9727.097132689449,16748.641945739666,3.0909978234615156,269.0171817701971,12781.508485640172,159.59002969035774,87.25260500106774,233.86335443462298,977.3731862356045,7.297919979176703,614.9857458559254,132.33219526232745,277.177520236549,179.97298565358662,4568.182145254502,56.156894188474624,14.82289034261108,1257.4153215037322,18.288228010472555,5.04762686124692,282.21374345914825,54.15178483000285,304.6892325453916,886.6477337437427,9.594913976749261,126.56380642993973,161.80375206250636,258.37299372042094,362.37118359804475,3779.4559365464115,846.6799418747655,281.0078118926711,10.757,69.661
43,3,ALB,low,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,94.05558598282222,416.7318188847903,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,16.61952784684968,235.79058135446414,633.5584381570153,10886.43286530697,445322.9412063979,371.8221942530247,22.197251139425436,5615.199001087594,333.40947169571535,607.884718403384,5493.787679185864,9972.999592016866,1.8459528704867576,160.9802925337876,7337.926418040933,105.59299504738016,7.990332113401092,120.47927168730222,86.73122367031849,4.0898670404454185,280.64798029476714,70.81392531173759,173.21542474326407,83.55929188106755,2735.157262137575,31.37418605760702,6.068962830340525,678.2780691468745,10.631197216752504,2.3802643118186007,153.29164026222716,38.99859180249598,186.1618975093438,608.1094078135377,5.763712997425463,60.79816199408778,97.94096540021837,158.9362921603527,202.93330290460446,2261.1745359171023,475.5971050270423,175.27171992107233,10.757,69.661
139,3,DZA,central,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,347.08522685577833,1446.0783417196992,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,11.620812019926234,206.2405642032668,422.7439520682353,9300.130898231157,273062.24418970686,232.2445404121271,17.73871280200305,4398.995002873594,334.85099858989906,381.48017275446097,6255.682820874545,7602.879361599283,1.829277094623894,161.0164169746325,7850.7297882855455,130.79911689962688,12.448356345583823,65.35836954830292,163.0264576654584,11.92037701636759,537.747984708976,245.07417915964842,139.8157756320775,62.35552767699592,2697.8135968557986,7.8506614342644365,1.7869814374980586,191.7946093385985,11.463945021428483,4.012938324940596,216.1877184373399,33.591891559476714,93.83486433249738,638.351943712825,6.117900782076814,71.28912755450564,128.61043438663194,58.83687322057287,192.77906283330486,1062.8294623049715,348.96945484279814,202.08824445413245,23.379,45.685
139,3,DZA,high,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,568.9563470722215,2265.320666871591,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,14.715078112818139,265.1023185422752,492.4921018751555,11055.449886671013,273062.24418970686,279.2476999345368,22.090469734214963,5440.3000038041655,421.8748189054449,448.5484515291387,8169.92774832396,9156.90123813828,2.552158870168726,224.76284265911093,10215.696655343165,152.52178821746574,35.76720956069213,88.36824977323617,453.32811318190653,15.386414642665708,756.3939057635554,317.133761704391,170.50918117289714,87.70667964000691,3394.3013455174378,10.126795226763697,2.6049772649273852,247.54837750082035,14.535639906849754,5.6714972471790395,275.2004051321384,43.624278773136616,113.74976507862162,818.8347157743186,7.578663800454459,96.19099827421054,159.79930525376724,71.66571203246947,244.09139389969022,1315.038869116198,444.4608420928673,248.46693615436857,23.379,45.685
139,3,DZA,low,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,184.89780308593026,888.8769434922523,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,9.084152940432816,158.75039053686777,360.09673773178525,7757.10694854319,273062.24418970686,195.23743498658501,14.165025722878319,3595.9630413006967,263.33442242778716,323.2401951126996,4609.96567716779,6279.458420471662,1.3040480207755865,114.62075868516608,5847.051854256239,104.41580606759383,3.000313165562551,46.441629558023564,39.81034389220021,9.182885630474052,356.50909357426747,188.42146059821656,113.59730035074541,41.15555791790128,2140.843594969358,6.04966890723082,1.159345661176684,145.8542302629367,9.107529701244621,2.668262535693612,171.59156658251936,23.559504345816812,73.91996358637313,457.8691716513314,4.657137763699168,46.38725683480074,97.42156351949663,47.45592318896228,141.27755297982003,847.8520165811649,252.55366885573474,158.74551509667901,23.379,45.685
298,3,ASM,central,American Samoa,American Samoa,East Asia & Pacific,High income,55504.94583680459,383.33867287990455,1723.610084419194,1160.836626873634,1201.4421254651763,NA,NA,29.861610755742408,586.0645620701988,646.1929667397119,15904.510559264765,NA,222.25373151135227,40.49324989067634,5207.888353742288,842.6301333896092,592.7355175367181,6475.258705052602,13924.63726969491,1.8711129349260538,164.32970136812193,7983.0559261281005,96.01349538592007,13.138959358587968,53.613688701922975,162.3527211374971,77.81046795901409,1470.9656514985265,1858.7216916143175,115.85425890877161,82.37524811406486,2758.0485811338726,22.78474741483264,4.897878655541351,556.0651875988697,18.428026221753193,4.104810105598001,416.13174738816735,33.22096921417141,112.77870257614234,824.775075774442,10.631639134933899,64.4896032327775,256.5655713194111,73.17850338840942,291.53951079715773,1625.0646968339697,486.693461487365,160.50309861869758,16.304,NA
