"country","Pop_1to18yrs","Total","0ppb_central","0ppb_low","0ppb_high","2ppb_central","2ppb_low","2ppb_high","5ppb_central","5ppb_low","5ppb_high"
"Moldova",1100000,11,1.7,0.72,2.2,1.2,0.52,1.6,0.52,0.23,0.67
"Mongolia",980000,9.9,2.2,0.99,2.9,1.8,0.8,2.3,1.1,0.53,1.5
"Montenegro",150000,1.4,0.19,0.08,0.25,0.12,0.054,0.16,0.042,0.019,0.054
"Morocco",1.1e+07,160,25,11,33,18,8,23,8.2,3.8,11
"Mozambique",1.4e+07,270,24,10,32,12,5.2,16,1.7,0.76,2.2
"Myanmar",1.8e+07,320,47,21,63,33,14,43,13,5.8,17
"Namibia",1100000,19,2.7,1.1,3.5,1.8,0.78,2.3,0.57,0.26,0.74
"Nepal",1.2e+07,91,13,5.7,17,9,4,12,3.4,1.6,4.4
"Netherlands",3600000,38,9.8,4.4,13,8.1,3.7,10,5.7,2.7,7.2
"New Zealand",1100000,23,2.2,0.93,2.9,1.2,0.54,1.6,0.35,0.16,0.45
"Nicaragua",2700000,47,5.5,2.4,7.3,3.4,1.5,4.4,0.89,0.4,1.1
"Niger",1.1e+07,160,24,10,31,16,7.2,22,6.4,2.9,8.3
"Nigeria",8.6e+07,1400,170,73,230,110,48,140,33,15,43
"Northern Mariana Islands",15000,0.41,0,0,0,0,0,0,0,0,0
"North Korea",7200000,130,26,11,33,20,8.8,26,11,5.2,15
"Norway",1200000,13,2.2,0.97,2.9,1.6,0.73,2.1,0.86,0.4,1.1
"Oman",1200000,19,4,1.8,5.3,3.2,1.4,4.1,1.9,0.87,2.4
"Pakistan",8.1e+07,720,150,66,190,120,52,150,69,32,88
"Palestine",2300000,39,8.3,3.7,11,6.5,2.9,8.4,4.1,1.9,5.2
"Panama",1300000,31,3.4,1.5,4.6,2.1,0.9,2.7,0.57,0.26,0.73
"Papua New Guinea",3200000,85,6.2,2.7,8.3,3,1.3,4,0.57,0.26,0.73
"Paraguay",2600000,67,9.9,4.3,13,6.9,3,9,2.9,1.3,3.7
"Peru",1.1e+07,290,56,25,73,43,20,56,27,12,33
"Philippines",4e+07,990,130,58,170,90,41,120,46,22,58
"Poland",7400000,77,15,6.8,20,12,5.4,16,7.1,3.3,9.1
"Portugal",1900000,25,4.2,1.9,5.6,3.2,1.4,4.1,1.7,0.79,2.2
"Puerto Rico",910000,25,3.1,1.4,4.1,2,0.89,2.6,0.87,0.4,1.1
"Qatar",320000,4.4,1.5,0.71,1.9,1.3,0.62,1.6,1,0.5,1.3
"Romania",3800000,42,7,3.1,9.2,5.1,2.3,6.7,2.4,1.1,3.1
"Russia",2.7e+07,270,62,28,80,50,23,63,32,15,40
"Rwanda",5500000,120,8.8,3.7,12,3.5,1.5,4.6,0.32,0.15,0.42
"Saint Lucia",55000,1.5,0.096,0.041,0.13,0.042,0.018,0.056,0.0087,0.0039,0.011
"Saint Vincent and the Grenadines",33000,0.93,0.052,0.022,0.069,0.019,0.0081,0.025,0.0022,0.00099,0.0029
"Samoa",4000,0.092,0,0,0,0,0,0,0,0,0
"Sao Tome and Principe",88000,1.2,0.0062,0.0026,0.0084,0.0029,0.0013,0.0039,1.4e-05,6.1e-06,1.8e-05
"Saudi Arabia",1e+07,130,38,18,49,32,15,41,24,11,30
"Senegal",7400000,85,12,5.4,16,8.6,3.8,11,3.3,1.5,4.3
"Serbia",1200000,14,2.4,1,3.1,1.7,0.77,2.3,0.86,0.39,1.1
"Seychelles",26000,0.51,4.2e-07,1.8e-07,5.6e-07,2.1e-07,8.8e-08,2.7e-07,0,0,0
"Sierra Leone",3e+06,43,3,1.3,4,1.3,0.55,1.7,0.29,0.13,0.38
"Singapore",1200000,14,4.3,2,5.5,3.7,1.7,4.6,2.8,1.3,3.5
"Slovakia",1100000,9.2,1.5,0.67,2,1.1,0.49,1.5,0.53,0.24,0.68
"Slovenia",350000,3.2,0.49,0.21,0.65,0.34,0.15,0.45,0.14,0.066,0.19
"Solomon Islands",270000,6.9,0.2,0.084,0.26,0.09,0.039,0.12,0.015,0.0068,0.02
"Somalia",5700000,98,13,5.4,17,8.1,3.5,11,2.4,1.1,3.1
"South Africa",1.9e+07,360,50,22,67,34,15,45,14,6.3,18
"South Korea",1.1e+07,120,41,19,51,36,17,44,28,14,34
"South Sudan",6100000,110,11,4.5,14,5.8,2.5,7.7,0.68,0.3,0.88
"Spain",8200000,88,18,8.1,24,14,6.5,18,8.8,4.1,11
"Sri Lanka",6200000,120,12,5.3,17,6.9,3,9,1.8,0.82,2.3
"Sudan",2e+07,380,58,25,76,41,18,53,17,7.7,22
"Suriname",180000,5.4,0.52,0.22,0.69,0.28,0.12,0.37,0.078,0.035,0.1
"Swaziland",6e+05,13,1.4,0.58,1.8,0.78,0.34,1,0.1,0.046,0.13
"Sweden",2e+06,27,5,2.2,6.5,3.8,1.7,4.9,2.1,0.96,2.7
"Switzerland",1500000,17,3.1,1.4,4.1,2.4,1.1,3.1,1.3,0.6,1.7
"Syria",7700000,140,33,15,43,27,12,34,18,8.4,23
"Taiwan",4700000,95,24,11,31,20,9.2,25,14,6.5,17
"Tajikistan",3600000,35,6.6,2.9,8.6,5,2.2,6.5,2.8,1.3,3.6
"Tanzania",2.6e+07,560,47,20,63,24,10,31,2.5,1.1,3.3
"Thailand",1.6e+07,380,61,27,80,44,20,57,21,9.9,27
"The Bahamas",130000,3.6,0.5,0.22,0.66,0.34,0.15,0.44,0.13,0.061,0.17
"The Gambia",1e+06,14,1.6,0.71,2.2,1,0.44,1.3,0.23,0.1,0.3
"Timor-Leste",560000,12,1.1,0.49,1.5,0.65,0.29,0.85,0.23,0.1,0.29
"Togo",3400000,50,5.2,2.2,6.9,2.9,1.3,3.9,0.54,0.24,0.69
"Tonga",44000,1.3,0,0,0,0,0,0,0,0,0
"Trinidad and Tobago",340000,10,1.1,0.49,1.5,0.7,0.31,0.92,0.23,0.1,0.29
"Tunisia",3200000,47,7.5,3.3,9.8,5.3,2.4,7,2.5,1.1,3.1
"Turkey",2.4e+07,360,83,38,110,67,31,86,44,21,56
"Turkmenistan",1900000,18,4,1.8,5.2,3.2,1.4,4.1,2,0.95,2.6
"Uganda",2.1e+07,370,24,10,32,9.2,4,12,1.2,0.56,1.6
"Ukraine",7900000,95,17,7.3,22,12,5.5,16,6.3,2.9,8
"United Arab Emirates",2100000,32,11,5.1,14,9.5,4.5,12,7.5,3.6,9.3
"United Kingdom",1.4e+07,200,47,21,61,38,17,49,25,12,32
"United States",7.8e+07,1300,290,130,380,240,110,300,160,73,190
"Uruguay",920000,14,2.4,1,3.1,1.7,0.77,2.2,0.83,0.38,1.1
"Uzbekistan",1.1e+07,130,25,11,33,20,8.8,25,12,5.3,15
"Vanuatu",120000,3,0.039,0.016,0.052,0.016,0.0067,0.021,0.00074,0.00033,0.00095
"Venezuela",1e+07,180,32,14,42,24,11,31,13,6.1,17
"Vietnam",2.9e+07,480,81,36,110,60,27,77,30,14,38
"Virgin Islands, U.S.",27000,0.77,0.067,0.029,0.089,0.034,0.015,0.045,0.0062,0.0028,0.0081
"Yemen",1.4e+07,220,43,19,57,33,15,43,19,8.9,25
"Zambia",8300000,120,12,5.3,17,7,3,9.2,1.2,0.55,1.6
"Zimbabwe",7300000,110,12,5,16,6.8,2.9,8.9,0.81,0.36,1
"GLOBAL",2.4e+09,32000,5400,2400,7100,4000,1800,5200,2300,1100,2900
