"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-30084.2750044621,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-336.68842332525,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-92808.9043922957,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-3567.02434507824,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-77170.2525561652,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-4465.4716915664,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-3319.48155492449,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-30402.3341676572,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-7612.25779021464,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-1587.13408492148,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-4079.84649555552,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-154.499649760328,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-10236.0183778994,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-507.491517896714,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-19251.7335412444,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-980.347833453782,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-271130.122939452,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-12083.4553466413,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-11209.9516343668,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-13009.6301158612,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-32396.207426848,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-26415.8017078919,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-9385100.83607304,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-15999.805208561,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-179.111390435343,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-58547.5361728218,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2266.82990929016,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-42726.7427531675,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2237.77652343168,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-1855.27977657274,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-17761.3961304233,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-4513.98789409938,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-949.36949133115,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2036.73337699342,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-77.3108964366014,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-5507.20117806101,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-276.232153480715,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-8937.66478668734,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-551.522340800581,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-164218.65469371,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-7441.78189603239,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-5677.14144609431,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-8336.36582113415,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-12829.4235867345,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-6742.31360970985,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-7818110.33004944,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-47016.1257278485,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-526.149984079448,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-132541.136291019,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-5084.31494427906,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-117023.773780124,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-6935.93466121124,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
"scenario","BGD.1_1","PM25",8038946.67188847,"high",-5058.44790901528,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021",2021,"fusion","0.7.1"
