"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-19199.1448382676,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-217.673993112567,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-16022.3030403255,"COPD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-6533.97145934713,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-883.930757826184,"COPD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-7722.10788018935,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-459.229309508918,"Diabetes","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-32707.4780755514,"IHD","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1272.13162965246,"IHD","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-3030.65688010295,"LC","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-124.812544457467,"LC","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-7672.18737175829,"LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-402.37351755764,"LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-22943.6031133621,"Stroke","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1602.36524502355,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-980.303485644537,"Stroke","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-11118.9639304403,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-12904.0349793447,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-32133.2574493782,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-26201.3928305681,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-9308924.88063228,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-10425.5074874468,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2019","GBD only",2020,"0.7.2"
