"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"low","Deaths",-247.966681850474,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","YLLs",-7007.77843378128,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","YLDs",-459.399902699005,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","Deaths",-305.793815542269,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","exac",-5631.06184808228,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","exac",-8268.70212285103,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","PTB",-12725.2911307765,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","LBW",-6687.58833929754,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"low","Absences",-7754653.15100202,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-30825.7403676742,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths.child",-349.325598690395,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-34299.8452644566,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-9554.13474993705,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-1902.68634878889,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-12349.3445806352,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-640.97612906399,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-54013.9285357229,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-2077.01132237014,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-5957.76844258126,"PM25","LC",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-243.883618406004,"PM25","LC",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-11167.1027533719,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-580.412151297459,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-44093.1149791233,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-3124.0699237128,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-1865.92710467216,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","exac",-16896.9594765509,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","exac",-17701.6368915295,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","PTB",-34983.0143736591,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","LBW",-56713.2513936925,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.1_1",7973697.03268217,"high","Absences",-10916083.0759134,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-63943.2318955576,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths.child",-724.968676286358,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-53362.6808609919,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-21761.5553059023,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-2943.95348873236,"PM25","COPD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLDs",-25718.6733609754,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-1529.4746968436,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-108933.073473942,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-4236.86619804056,"PM25","IHD",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","YLLs",-10093.6785108277,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
"scenario","BGD.2_1",26556597.3235152,"central","Deaths",-415.6912998443,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.5.1","gbd2019","GBD only",2020,"0.5.1"
