"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-26488.0187983226,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-295.892330390613,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-129454.786066062,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-4816.55917599916,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-59422.9719945169,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-4455.99044267221,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-2416.49505431053,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-55015.3405376888,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-8447.00272617199,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-2839.26579469154,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-10238.4631812431,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-348.344112527233,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-4996.36386517193,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-227.313461055256,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-19533.9597079823,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-751.305788636206,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-356953.906550463,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-14493.674910336,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-10501.973398715,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-12187.9909798214,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-33132.0416848234,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-27015.7994666556,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"central",-9598270.19317542,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-14465.7870864846,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-161.934377372804,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-86248.0783816965,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-3070.84788151683,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-31665.2519045749,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-2202.20271161169,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-1186.50282679467,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-30100.0081819803,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-4942.85751175022,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-1564.80593192559,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-4813.37875830892,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-164.897002814928,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-2439.66022775749,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-109.905861690834,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-9174.72555112798,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-356.598214674298,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-218946.351688464,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-8970.00351160606,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-5318.59461952021,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-7809.87241970855,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-13120.8258876524,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-6895.45577436728,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"low",-7995687.70315623,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-40779.3738620658,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-455.605433160585,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-172055.52981686,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-6576.10246446859,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-91308.7094141577,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-6811.22950594758,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-3797.86308263302,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-96285.060617667,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-12355.5666494892,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-4997.48631951483,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-17580.2545015389,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-597.243703423411,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-8420.68106413101,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-388.919897013028,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-32007.1404093404,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-1212.19974792783,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-525637.5807534,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-21119.753563303,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-15959.3483756248,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-16719.3742970613,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-36070.3763792015,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-58476.0450202677,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.1_1","PM25",8221540.03169981,"high",-11255382.9961349,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-88219.008853931,"LRI.child","YLLs",FALSE,"0-4","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-985.476804184117,"LRI.child","Deaths.child",FALSE,"0-4","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-431152.401585765,"IHD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-16041.6707579452,"IHD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-197909.693904444,"Stroke","YLLs",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-14840.78757676,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-8048.19719492202,"Stroke","Deaths",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-183229.967139096,"COPD","YLLs",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-28132.953769141,"COPD","YLDs",FALSE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
"scenario","BGD.2_1","PM25",27382044.6282455,"central",-9456.24571575804,"COPD","Deaths",TRUE,"25+","Chittagong","BGD","0.7.2","gbd2023",2023,"fusion","0.7.2"
