"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-25120.8214750979,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-6289.85155928708,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-1311.41614931561,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-79981.3071135176,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-3006.60352408015,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-4150.61522336837,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-157.179589722035,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-14135.373791867,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-700.817645771381,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-233277.521111,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-9935.94809603374,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-65399.4300248809,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-3833.60437153884,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-2751.55962697472,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-22850.532040383,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-255.731926519039,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-10563.5631259033,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-537.92382913701,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-11209.9516343668,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-13009.6301158612,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-32396.207426848,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-26415.8017078919,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"central",-9385100.83607304,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-10265.0244166756,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2608.81496078677,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-548.678771499758,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-58802.4912074963,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2249.04229265469,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-2020.66960497947,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-76.7011432756916,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-6519.24577687853,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-326.994646062894,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-158542.7349761,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
"scenario","BGD.1_1","PM25",8038946.67188847,"low",-6852.89038441416,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2021","GEMM and GBD",2021,"0.7.2"
