"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-24916.9235510642,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-6238.7987831392,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-1300.77179078399,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-79332.1236265,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-2982.19985489441,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-4116.92596570032,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-155.903811695565,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-14020.6413427527,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-695.12932609439,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-231384.079754976,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-9855.30108406813,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-64868.603115885,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-3802.48819272684,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-2729.22607007447,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLLs",-22665.0613522242,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths.child",-253.656229711987,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","YLDs",-10477.8219572116,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Deaths",-533.557668095739,"PM25","Diabetes",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","exac",-11118.9639304403,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","exac",-12904.0349793447,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","PTB",-32133.2574493782,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","LBW",-26201.3928305681,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"central","Absences",-9308924.88063228,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"low","YLLs",-10181.7063941822,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"low","YLDs",-2587.64001811143,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
"scenario","BGD.1_1",7973697.03268217,"low","Deaths",-544.22531592383,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.0","gbd2021","GEMM and GBD",2020,"0.6.0"
