"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1",7973697.03268217,"low","Absences",-11102805.4962523,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"low","LBW",-51695.8006593938,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"low","PTB",-31888.0489670977,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"low","exac",-17701.6368915295,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"low","exac",-16896.9594765509,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-298792.650323859,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","YLLs",-30825.7403676742,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-7013.94300206599,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-12349.3445806352,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","YLDs",-12459.5101932345,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.1_1",7973697.03268217,"high","Deaths",-13051.563133999,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
