"scenario","region_id","estimate","pop","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1","central",26556597.3235152,"Deaths",-415.6912998443,"PM25","LC",FALSE,"25+","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"Deaths",-1340.11506025708,"PM25","LRI",FALSE,"25+","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"Deaths.child",-724.968676286358,"PM25","LRI.child",FALSE,"0-4","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"Deaths",-1529.4746968436,"PM25","Diabetes",FALSE,"25+","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"exac",-37031.9873635914,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"exac",-42977.21112182,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"PTB",-97552.447859425,"PM25","PTB",FALSE,"Newborn","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"LBW",-79544.0677614144,"PM25","LBW",FALSE,"Newborn","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.2_1","central",26556597.3235152,"Absences",-31533931.7601537,"PM25","Absences",FALSE,"25+","Chittagong","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-195457.432327127,"PM25","IHD",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-137109.248915848,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-95748.079536895,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-18110.9778834417,"PM25","LC",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-45848.4154771142,"PM25","LRI",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLLs",-114732.647509422,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLDs",-9575.61435091632,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLDs",-46146.7366859785,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"YLDs",-39046.5226757227,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-7602.16306924181,"PM25","IHD",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-5858.21999980607,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-5282.30381690058,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-745.87039103169,"PM25","LC",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-2404.55391872718,"PM25","LRI",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths.child",-1300.80343338907,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Deaths",-2744.31986100045,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"exac",-66446.0933050755,"PM25","Asthma",FALSE,"0-18","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"exac",-77113.543816986,"PM25","Asthma",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"PTB",-175037.299212808,"PM25","PTB",FALSE,"Newborn","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"LBW",-142725.058108456,"PM25","LBW",FALSE,"Newborn","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.3_1","central",47650214.5644629,"Absences",-56580991.7636528,"PM25","Absences",FALSE,"25+","Dhaka","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-73072.4001105389,"PM25","IHD",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-51258.7409767372,"PM25","Stroke",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-35795.73257683,"PM25","COPD",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-6770.84829435927,"PM25","LC",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-17140.5800244565,"PM25","LRI",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLLs",-42893.1753821385,"PM25","LRI.child",FALSE,"0-4","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
"scenario","BGD.4_1","central",17814188.5041238,"YLDs",-3579.87473192271,"PM25","Stroke",FALSE,"25+","Khulna","BGD","0.4.1","gbd2019","GBD only",2020,"0.4.1"
