"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-157255.892721984,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-6797.26759658463,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-28179.8734853191,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-1496.02730435563,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-1194.73805405603,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-13912.4173128965,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-155.743921675765,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-4634.93256294422,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-286.010822466221,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-5631.06184808228,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-8268.70212285103,"Asthma.18to99","AsthmaERV",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-12725.2911307765,"PTB","PTB",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-6687.58833929754,"LBW","LBW",FALSE,"Newborn","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"low",-7754653.15100202,"Absences","Absences",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-44050.7007309959,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-10236.6105607537,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-2281.93167495194,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-104705.151758551,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-3889.96328492482,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-7478.70163527881,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-275.946413049306,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-22229.4660348421,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-1097.98004814546,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-321995.099239408,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-13542.29300187,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-107675.745586712,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-6455.76797363929,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
"scenario","BGD.1_1","PM25",7973697.03268217,"high",-4564.1847302196,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.1","gbd2021","GEMM and GBD",2020,"0.7.1"
