"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-19451.5503447973,"COPD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-7932.43483618304,"COPD","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-1073.11811503607,"COPD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-77724.9277722718,"IHD","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-3070.79673188754,"IHD","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-5267.93080362949,"LC","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-216.950936261887,"LC","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-13948.8586904969,"LRI","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-731.558167866202,"LRI","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-213259.959109798,"NCD.LRI","YLLs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-9443.74518307115,"NCD.LRI","Deaths",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-60505.8356204931,"Stroke","YLLs",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-4159.36196487322,"Stroke","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-2612.84919692879,"Stroke","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-19199.1448382676,"LRI.child","YLLs",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-217.673993112567,"LRI.child","Deaths.child",FALSE,"0-4","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-7722.10788018935,"Diabetes","YLDs",FALSE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-459.229309508918,"Diabetes","Deaths",TRUE,"25+","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
"scenario","BGD.1_1","PM25",7973697.03268217,"central",-11118.9639304403,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Barisal","BGD","0.7.2","gbd2019","GEMM and GBD",2020,"0.7.2"
