cause,exposure,age,central,low,high,source
LRI.child,0.36,Under 5,1.00287667485236,1.00154905818095,1.00481030604958,gbd2019
LRI.child,0.37,Under 5,1.00295651467809,1.0015920875495,1.00494371281301,gbd2019
LRI.child,0.38,Under 5,1.0030363508405,1.00163511691668,1.00507710807931,gbd2019
LRI.child,0.39,Under 5,1.00311618333974,1.00167814628249,1.00521049184911,gbd2019
LRI.child,0.4,Under 5,1.00319601217597,1.00172117564693,1.00534386412306,gbd2019
LRI.child,0.41,Under 5,1.00327583734936,1.00176420501001,1.00547722490182,gbd2019
LRI.child,0.42,Under 5,1.00335565886006,1.00180723437171,1.00561057418602,gbd2019
LRI.child,0.43,Under 5,1.00343547670824,1.00185026373204,1.00574391197633,gbd2019
LRI.child,0.44,Under 5,1.00351529089405,1.00189329309101,1.00587723827338,gbd2019
LRI.child,0.45,Under 5,1.00359510141766,1.00193632244861,1.00601055307782,gbd2019
LRI.child,0.46,Under 5,1.00367490827922,1.00197935180484,1.00614385639032,gbd2019
LRI.child,0.47,Under 5,1.00375471147889,1.0020223811597,1.0062771482115,gbd2019
LRI.child,0.48,Under 5,1.00383451101684,1.00206541051319,1.00641042854202,gbd2019
LRI.child,0.49,Under 5,1.00391430689323,1.00210843986531,1.00654369738253,gbd2019
LRI.child,0.5,Under 5,1.00399409910821,1.00215146921607,1.00667695473368,gbd2019
LRI.child,0.51,Under 5,1.00407388766195,1.00219449856546,1.00681020059611,gbd2019
LRI.child,0.52,Under 5,1.0041536725546,1.00223752791348,1.00694343497048,gbd2019
LRI.child,0.53,Under 5,1.00423345378632,1.00228055726014,1.00707665785742,gbd2019
LRI.child,0.54,Under 5,1.00431323135729,1.00232358660542,1.0072098692576,gbd2019
LRI.child,0.55,Under 5,1.00439300526765,1.00236661594934,1.00734306917165,gbd2019
LRI.child,0.56,Under 5,1.00447277551756,1.00240964529189,1.00747625760023,gbd2019
LRI.child,0.57,Under 5,1.00455254210719,1.00245267463308,1.00760943454399,gbd2019
LRI.child,0.58,Under 5,1.0046323050367,1.0024957039729,1.00774260000357,gbd2019
LRI.child,0.59,Under 5,1.00471206430624,1.00253873331135,1.00787575397962,gbd2019
LRI.child,0.6,Under 5,1.00479181991598,1.00258176264844,1.00800889647279,gbd2019
LRI.child,0.61,Under 5,1.00487157186608,1.00262479198416,1.00814202748372,gbd2019
LRI.child,0.62,Under 5,1.00495132015669,1.00266782131851,1.00827514701307,gbd2019
LRI.child,0.63,Under 5,1.00503106478798,1.0027108506515,1.00840825506149,gbd2019
LRI.child,0.64,Under 5,1.0051108057601,1.00275387998312,1.00854135162962,gbd2019
LRI.child,0.65,Under 5,1.00519054307323,1.00279690931337,1.00867443671811,gbd2019
LRI.child,0.66,Under 5,1.00527027672751,1.00283993864226,1.00880751032761,gbd2019
LRI.child,0.67,Under 5,1.00535000672311,1.00288296796978,1.00894057245876,gbd2019
LRI.child,0.68,Under 5,1.00542973306018,1.00292599729594,1.00907362311222,gbd2019
LRI.child,0.69,Under 5,1.00550945573889,1.00296902662073,1.00920666228864,gbd2019
LRI.child,0.7,Under 5,1.0055891747594,1.00301205594416,1.00933968998865,gbd2019
LRI.child,0.71,Under 5,1.00566889012187,1.00305508526622,1.00947270621292,gbd2019
LRI.child,0.72,Under 5,1.00574860182646,1.00309811458692,1.00960571096209,gbd2019
LRI.child,0.73,Under 5,1.00582830987332,1.00314114390625,1.0097387042368,gbd2019
LRI.child,0.74,Under 5,1.00590801426262,1.00318417322422,1.00987168603771,gbd2019
LRI.child,0.75,Under 5,1.00598771499452,1.00322720254083,1.01000465636546,gbd2019
LRI.child,0.76,Under 5,1.00606741206918,1.00327023185606,1.0101376152207,gbd2019
LRI.child,0.77,Under 5,1.00614710548675,1.00331326116994,1.01027056260409,gbd2019
LRI.child,0.78,Under 5,1.00622679524741,1.00335629048245,1.01040349851626,gbd2019
LRI.child,0.79,Under 5,1.0063064813513,1.0033993197936,1.01053642295787,gbd2019
LRI.child,0.8,Under 5,1.0063861637986,1.00344234910338,1.01066933592956,gbd2019
LRI.child,0.81,Under 5,1.00646584258945,1.0034853784118,1.01080223743199,gbd2019
LRI.child,0.82,Under 5,1.00654551772402,1.00352840771885,1.01093512746579,gbd2019
LRI.child,0.83,Under 5,1.00662518920247,1.00357143702455,1.01106800603163,gbd2019
LRI.child,0.84,Under 5,1.00670485702495,1.00361446632887,1.01120087313015,gbd2019
LRI.child,0.85,Under 5,1.00678452119164,1.00365749563184,1.01133372876199,gbd2019
LRI.child,0.86,Under 5,1.00686418170269,1.00370052493344,1.0114665729278,gbd2019
LRI.child,0.87,Under 5,1.00694383855826,1.00374355423368,1.01159940562824,gbd2019
LRI.child,0.88,Under 5,1.0070234917585,1.00378658353256,1.01173222686395,gbd2019
LRI.child,0.89,Under 5,1.00710314130359,1.00382961283007,1.01186503663558,gbd2019
LRI.child,0.9,Under 5,1.00718278719368,1.00387264212622,1.01199783494378,gbd2019
LRI.child,0.91,Under 5,1.00726242942892,1.00391567142101,1.01213062178919,gbd2019
LRI.child,0.92,Under 5,1.00734206800949,1.00395870071444,1.01226339717247,gbd2019
LRI.child,0.93,Under 5,1.00742170293554,1.0040017300065,1.01239616109425,gbd2019
LRI.child,0.94,Under 5,1.00750133420722,1.00404475929721,1.0125289135552,gbd2019
LRI.child,0.95,Under 5,1.00758096182471,1.00408778858655,1.01266165455596,gbd2019
LRI.child,0.96,Under 5,1.00766058578816,1.00413081787452,1.01279438409718,gbd2019
LRI.child,0.97,Under 5,1.00774020609773,1.00417384716114,1.0129271021795,gbd2019
LRI.child,0.98,Under 5,1.00781982275358,1.0042168764464,1.01305980880357,gbd2019
LRI.child,0.99,Under 5,1.00789943575587,1.00425990573029,1.01319250397005,gbd2019
LRI.child,1,Under 5,1.00797904510476,1.00430293501283,1.01332518767958,gbd2019
LRI.child,1.1,Under 5,1.00877493769197,1.00473322776332,1.01465139478523,gbd2019
LRI.child,1.2,Under 5,1.00957046511542,1.00516352037784,1.01597645690902,gbd2019
LRI.child,1.3,Under 5,1.01036562753523,1.00559381285651,1.01730037469922,gbd2019
LRI.child,1.4,Under 5,1.01116042511152,1.00602410519948,1.01862314880409,gbd2019
LRI.child,1.5,Under 5,1.01195485800441,1.00645439740687,1.01994477987192,gbd2019
LRI.child,1.6,Under 5,1.012748926374,1.00688468947881,1.02126526855097,gbd2019
LRI.child,1.7,Under 5,1.01354263038043,1.00731498141544,1.02258461548952,gbd2019
LRI.child,1.8,Under 5,1.01433597018381,1.0077452732169,1.02390282133585,gbd2019
LRI.child,1.9,Under 5,1.01512894594426,1.0081755648833,1.02521988673823,gbd2019
LRI.child,2,Under 5,1.01592155782189,1.0086058564148,1.02653581234493,gbd2019
LRI.child,2.1,Under 5,1.01671380597682,1.00903614781151,1.02785059880422,gbd2019
LRI.child,2.2,Under 5,1.01750569056918,1.00946643907358,1.02916424676438,gbd2019
LRI.child,2.3,Under 5,1.01829721175908,1.00989673020113,1.03047675687368,gbd2019
LRI.child,2.4,Under 5,1.01908836970663,1.0103270211943,1.03178812978041,gbd2019
LRI.child,2.5,Under 5,1.01987916457196,1.01075731205323,1.03309836613282,gbd2019
LRI.child,2.6,Under 5,1.02066959651518,1.01118760277803,1.0344074665792,gbd2019
LRI.child,2.7,Under 5,1.02145966569641,1.01161789336886,1.03571543176781,gbd2019
LRI.child,2.8,Under 5,1.02224937227578,1.01204818382583,1.03702226234694,gbd2019
LRI.child,2.9,Under 5,1.02303871641339,1.01247847414908,1.03832795896485,gbd2019
LRI.child,3,Under 5,1.02382769826936,1.01290876433875,1.03963252226982,gbd2019
LRI.child,3.1,Under 5,1.02461631800382,1.01333905439497,1.04093595291013,gbd2019
LRI.child,3.2,Under 5,1.02540457577688,1.01376934431787,1.04223825153404,gbd2019
LRI.child,3.3,Under 5,1.02619247174866,1.01419963410758,1.04353941878983,gbd2019
LRI.child,3.4,Under 5,1.02698000607928,1.01462992376424,1.04483945532578,gbd2019
LRI.child,3.5,Under 5,1.02776717892885,1.01506021328798,1.04613836179016,gbd2019
LRI.child,3.6,Under 5,1.02855399045749,1.01549050267894,1.04743613883124,gbd2019
LRI.child,3.7,Under 5,1.02934044082533,1.01592079193723,1.04873278709729,gbd2019
LRI.child,3.8,Under 5,1.03012653019247,1.01635108106301,1.05002827283338,gbd2019
LRI.child,3.9,Under 5,1.03091225871905,1.01678137005639,1.05132262713291,gbd2019
LRI.child,4,Under 5,1.03169762656516,1.01721165891752,1.05261585274215,gbd2019
LRI.child,4.1,Under 5,1.03248263389094,1.01764194764653,1.05390795031394,gbd2019
LRI.child,4.2,Under 5,1.03326728085651,1.01807223624354,1.05519892050109,gbd2019
LRI.child,4.3,Under 5,1.03405156762197,1.0185025247087,1.05648876395645,gbd2019
LRI.child,4.4,Under 5,1.03483549434744,1.01893281304213,1.05777748133283,gbd2019
LRI.child,4.5,Under 5,1.03561906119306,1.01936310124397,1.05906507328308,gbd2019
LRI.child,4.6,Under 5,1.03640226831892,1.01979338931435,1.06035154046001,gbd2019
LRI.child,4.7,Under 5,1.03718511588516,1.02022367725341,1.06163688351646,gbd2019
LRI.child,4.8,Under 5,1.03796760405189,1.02065396506127,1.06292110310525,gbd2019
LRI.child,4.9,Under 5,1.03874973297922,1.02108425273807,1.06420419987921,gbd2019
LRI.child,5,Under 5,1.03953150282728,1.02151454028394,1.06548604454371,gbd2019
LRI.child,5.1,Under 5,1.04031291375618,1.02194482769902,1.06676668797419,gbd2019
LRI.child,5.2,Under 5,1.04109396592604,1.02237511498343,1.06804620257249,gbd2019
LRI.child,5.3,Under 5,1.04187465949698,1.02280540213732,1.06932458899979,gbd2019
LRI.child,5.4,Under 5,1.04265499462912,1.0232356891608,1.07060184791724,gbd2019
LRI.child,5.5,Under 5,1.04343497148257,1.02366597605403,1.07187797998605,gbd2019
LRI.child,5.6,Under 5,1.04421459021745,1.02409626281712,1.07315298586736,gbd2019
LRI.child,5.7,Under 5,1.04499385099389,1.02452654945022,1.07442686622238,gbd2019
LRI.child,5.8,Under 5,1.04577275397199,1.02495683595345,1.07569962171226,gbd2019
LRI.child,5.9,Under 5,1.04655129931189,1.02538712232694,1.07697125299819,gbd2019
LRI.child,6,Under 5,1.04732948717368,1.02581740857084,1.07824176074134,gbd2019
LRI.child,6.1,Under 5,1.0481073177175,1.02624769468527,1.07951114560289,gbd2019
LRI.child,6.2,Under 5,1.04888479110346,1.02667798067037,1.080779408244,gbd2019
LRI.child,6.3,Under 5,1.04966190749168,1.02710826652626,1.08204654932587,gbd2019
LRI.child,6.4,Under 5,1.05043866704227,1.02753855225309,1.08331256950966,gbd2019
LRI.child,6.5,Under 5,1.05121506991536,1.02796883785098,1.08458645227573,gbd2019
LRI.child,6.6,Under 5,1.05199111627107,1.02839912332007,1.08586185396666,gbd2019
LRI.child,6.7,Under 5,1.0527668062695,1.02882940866049,1.08713647882596,gbd2019
LRI.child,6.8,Under 5,1.05354214007078,1.02925969387237,1.08841032725103,gbd2019
LRI.child,6.9,Under 5,1.05431711783503,1.02968997895585,1.0896833996393,gbd2019
LRI.child,7,Under 5,1.05509173972236,1.03012026391106,1.0909556963882,gbd2019
LRI.child,7.1,Under 5,1.0558660058929,1.03055054873812,1.09222721789514,gbd2019
LRI.child,7.2,Under 5,1.05663991650675,1.03098083343719,1.09349796455755,gbd2019
LRI.child,7.3,Under 5,1.05741347172405,1.03141111800838,1.09476793677284,gbd2019
LRI.child,7.4,Under 5,1.0581866717049,1.03184140245183,1.09603713493844,gbd2019
LRI.child,7.5,Under 5,1.05895951660942,1.03227168676767,1.09730555945177,gbd2019
LRI.child,7.6,Under 5,1.05973200659774,1.03270197095604,1.09857321071026,gbd2019
LRI.child,7.7,Under 5,1.06050414182997,1.03313225501706,1.09984008911132,gbd2019
LRI.child,7.8,Under 5,1.06127592246623,1.03356253895088,1.10110619505237,gbd2019
LRI.child,7.9,Under 5,1.06204734866663,1.03399282275762,1.10237152893085,gbd2019
LRI.child,8,Under 5,1.0628184205913,1.03442310643742,1.10363609114416,gbd2019
LRI.child,8.1,Under 5,1.06358913840035,1.03485338999041,1.10489988208974,gbd2019
LRI.child,8.2,Under 5,1.0643595022539,1.03528367341672,1.106162902165,gbd2019
LRI.child,8.3,Under 5,1.06512951231207,1.03571395671649,1.10742515176736,gbd2019
LRI.child,8.4,Under 5,1.06589916873497,1.03614423988984,1.10868663129425,gbd2019
LRI.child,8.5,Under 5,1.06666847168273,1.03657452293692,1.10994734114309,gbd2019
LRI.child,8.6,Under 5,1.06743742131547,1.03700480585785,1.1112072817113,gbd2019
LRI.child,8.7,Under 5,1.06820601779329,1.03743508865277,1.1124664533963,gbd2019
LRI.child,8.8,Under 5,1.06897426127632,1.03786537132181,1.11372485659552,gbd2019
LRI.child,8.9,Under 5,1.06974215192467,1.03829565386509,1.11498249170637,gbd2019
LRI.child,9,Under 5,1.07050968989847,1.03872593628277,1.11623935912628,gbd2019
LRI.child,9.1,Under 5,1.07127687535784,1.03915621857496,1.11749545925267,gbd2019
LRI.child,9.2,Under 5,1.07204370846288,1.03958650074181,1.11875079248296,gbd2019
LRI.child,9.3,Under 5,1.07281018937372,1.04001678278343,1.12000535921458,gbd2019
LRI.child,9.4,Under 5,1.07357631825048,1.04044706469998,1.12125915984493,gbd2019
LRI.child,9.5,Under 5,1.07434209525327,1.04087734649157,1.12251219477146,gbd2019
LRI.child,9.6,Under 5,1.07510752054221,1.04130762815835,1.12376446439157,gbd2019
LRI.child,9.7,Under 5,1.07587259427743,1.04173790970044,1.12501596910269,gbd2019
LRI.child,9.8,Under 5,1.07663731661903,1.04216819111798,1.12626670930225,gbd2019
LRI.child,9.9,Under 5,1.07740168772714,1.0425984724111,1.12751668538766,gbd2019
LRI.child,10,Under 5,1.07816570776187,1.04302875357994,1.12876589775634,gbd2019
LRI.child,11,Under 5,1.08578663429947,1.04733155846175,1.1412161044561,gbd2019
LRI.child,12,Under 5,1.09337262962925,1.05152314873184,1.15359037664734,gbd2019
LRI.child,13,Under 5,1.1009238538692,1.05566356945105,1.16588911175183,gbd2019
LRI.child,14,Under 5,1.1084404671373,1.05993894207331,1.17811270719135,gbd2019
LRI.child,15,Under 5,1.11592262955152,1.06421380063887,1.19018941444909,gbd2019
LRI.child,16,Under 5,1.12337050122986,1.06848782090855,1.20233100552394,gbd2019
LRI.child,17,Under 5,1.1307842422903,1.07276136024035,1.21435972468621,gbd2019
LRI.child,18,Under 5,1.13816401285081,1.0770413305081,1.22629947086358,gbd2019
LRI.child,19,Under 5,1.14550997302937,1.08132128942307,1.23816722520462,gbd2019
LRI.child,20,Under 5,1.15282228294398,1.08560123711813,1.24996336881224,gbd2019
LRI.child,21,Under 5,1.16010110271261,1.08988117372608,1.26168256837328,gbd2019
LRI.child,22,Under 5,1.16734659245324,1.09416109937978,1.27284185845381,gbd2019
LRI.child,23,Under 5,1.17455891228386,1.09844101421206,1.28371429532793,gbd2019
LRI.child,24,Under 5,1.18173822232245,1.10272091835574,1.29445857258519,gbd2019
LRI.child,24.9999999999999,Under 5,1.18888468268698,1.10700081194367,1.3050794200856,gbd2019
LRI.child,25.9999999999999,Under 5,1.19599845349545,1.11128069510867,1.31557793752721,gbd2019
LRI.child,26.9999999999999,Under 5,1.20307969486583,1.11556056798358,1.32585634595793,gbd2019
LRI.child,27.9999999999999,Under 5,1.21012856691611,1.11984043070124,1.33622021890973,gbd2019
LRI.child,28.9999999999999,Under 5,1.21714522976426,1.12412028339448,1.34638776592002,gbd2019
LRI.child,29.9999999999999,Under 5,1.22412984352827,1.12840012619613,1.35643913562614,gbd2019
LRI.child,30.9999999999999,Under 5,1.23108256832613,1.13267995923903,1.36660348472243,gbd2019
LRI.child,31.9999999999999,Under 5,1.2380035642758,1.13695978265601,1.37702057709341,gbd2019
LRI.child,32.9999999999999,Under 5,1.24489299149528,1.14123959657991,1.38733350514483,gbd2019
LRI.child,33.9999999999999,Under 5,1.25175101010255,1.14551940114356,1.39755859788028,gbd2019
LRI.child,34.9999999999999,Under 5,1.25857778021559,1.14979919647979,1.40770310767919,gbd2019
LRI.child,35.9999999999999,Under 5,1.26537346195238,1.15407898272143,1.4177677524052,gbd2019
LRI.child,36.9999999999999,Under 5,1.2721382154309,1.15835876000133,1.42775324992195,gbd2019
LRI.child,37.9999999999999,Under 5,1.27887220076914,1.16263852845232,1.43697992525413,gbd2019
LRI.child,38.9999999999999,Under 5,1.28557557808507,1.16691828820722,1.44674892829459,gbd2019
LRI.child,39.9999999999999,Under 5,1.29224850749668,1.17119803939888,1.45690291664276,gbd2019
LRI.child,40.9999999999999,Under 5,1.29889114912195,1.17547778216013,1.46700051088096,gbd2019
LRI.child,41.9999999999999,Under 5,1.30550366307887,1.1797575166238,1.47663915536212,gbd2019
LRI.child,42.9999999999999,Under 5,1.31208620948541,1.18403724292273,1.48644102140287,gbd2019
LRI.child,43.9999999999999,Under 5,1.31863894845955,1.18831696118975,1.49643640228101,gbd2019
LRI.child,44.9999999999999,Under 5,1.32516204011928,1.19259667155769,1.50637521727831,gbd2019
LRI.child,45.9999999999999,Under 5,1.33165564458259,1.19687637415939,1.51625768685427,gbd2019
LRI.child,46.9999999999999,Under 5,1.33811992196744,1.20115606912769,1.52608403146838,gbd2019
LRI.child,47.9999999999999,Under 5,1.34455503239183,1.20543575659541,1.53585447158017,gbd2019
LRI.child,48.9999999999999,Under 5,1.35096113597374,1.20971543669539,1.54556922764912,gbd2019
LRI.child,49.9999999999999,Under 5,1.35733839283114,1.21399510956046,1.55522852013475,gbd2019
LRI.child,50.9999999999999,Under 5,1.36368696308203,1.21827477532347,1.56483256949656,gbd2019
LRI.child,51.9999999999999,Under 5,1.37000700684438,1.22255443411724,1.57438159619405,gbd2019
LRI.child,52.9999999999998,Under 5,1.37629868423617,1.22683408607461,1.5835433901945,gbd2019
LRI.child,53.9999999999998,Under 5,1.38256215537538,1.23111373132841,1.59166210502855,gbd2019
LRI.child,54.9999999999998,Under 5,1.38879758038,1.23539337001147,1.59969268225844,gbd2019
LRI.child,55.9999999999998,Under 5,1.39500511936802,1.23967300225663,1.60761519024793,gbd2019
LRI.child,56.9999999999998,Under 5,1.4011849324574,1.24395262819673,1.61545112077759,gbd2019
LRI.child,57.9999999999998,Under 5,1.40733717976614,1.24823224796459,1.62320152051368,gbd2019
LRI.child,58.9999999999998,Under 5,1.41346202141221,1.25251186169306,1.63086743612245,gbd2019
LRI.child,59.9999999999998,Under 5,1.4195596175136,1.25679146951496,1.63844991427017,gbd2019
LRI.child,60.9999999999998,Under 5,1.42563012818829,1.26107107156313,1.64639472638756,gbd2019
LRI.child,61.9999999999998,Under 5,1.43167371355427,1.26535066797041,1.65466639435554,gbd2019
LRI.child,62.9999999999998,Under 5,1.4376905337295,1.26963025886963,1.66287770041681,gbd2019
LRI.child,63.9999999999998,Under 5,1.44368074883198,1.27390984439361,1.67102934157258,gbd2019
LRI.child,64.9999999999998,Under 5,1.44964451897969,1.27818942467521,1.67912201482404,gbd2019
LRI.child,65.9999999999998,Under 5,1.4555820042906,1.28246899984724,1.68715641717242,gbd2019
LRI.child,66.9999999999998,Under 5,1.46149336488271,1.28674857004255,1.69513324561889,gbd2019
LRI.child,67.9999999999998,Under 5,1.46737876087399,1.29090094923413,1.70305319716468,gbd2019
LRI.child,68.9999999999998,Under 5,1.47323835238243,1.29472785437538,1.71091696881098,gbd2019
LRI.child,69.9999999999998,Under 5,1.479072299526,1.29854418957348,1.71872525755899,gbd2019
LRI.child,70.9999999999998,Under 5,1.48488076242269,1.30238065106744,1.72647876040992,gbd2019
LRI.child,71.9999999999998,Under 5,1.49066390119048,1.30660358383877,1.73417817436497,gbd2019
LRI.child,72.9999999999998,Under 5,1.49642187594735,1.31082571094127,1.74182419642535,gbd2019
LRI.child,73.9999999999998,Under 5,1.50215484681129,1.31472388157495,1.74946535992634,gbd2019
LRI.child,74.9999999999998,Under 5,1.50786297390028,1.31826006647373,1.75694056977765,gbd2019
LRI.child,75.9999999999998,Under 5,1.51354641733229,1.32198056044047,1.76431476167989,gbd2019
LRI.child,76.9999999999998,Under 5,1.51920533722531,1.32619892892477,1.77087308975524,gbd2019
LRI.child,77.9999999999998,Under 5,1.52483989369733,1.33041691115631,1.77793772643123,gbd2019
LRI.child,78.9999999999998,Under 5,1.53045024686632,1.33463783694925,1.78521608352765,gbd2019
LRI.child,79.9999999999997,Under 5,1.53603655685026,1.33886156380687,1.79211950236642,gbd2019
LRI.child,80.9999999999997,Under 5,1.54159898376715,1.34308505998793,1.79940741969318,gbd2019
LRI.child,81.9999999999997,Under 5,1.54713768773495,1.34731109972529,1.80678008389924,gbd2019
LRI.child,82.9999999999997,Under 5,1.55265282887166,1.35154680785955,1.8138473960388,gbd2019
LRI.child,83.9999999999997,Under 5,1.55814456729525,1.35578251842726,1.82085669497416,gbd2019
LRI.child,84.9999999999997,Under 5,1.5636130631237,1.35988410392502,1.82781049687925,gbd2019
LRI.child,85.9999999999997,Under 5,1.56905847647501,1.36385538009431,1.83470409570565,gbd2019
LRI.child,86.9999999999997,Under 5,1.57448096746714,1.36776225828389,1.84205326189145,gbd2019
LRI.child,87.9999999999997,Under 5,1.57988069621809,1.37133040856641,1.84834282979192,gbd2019
LRI.child,88.9999999999997,Under 5,1.58525782284583,1.37488581663801,1.85519929744481,gbd2019
LRI.child,89.9999999999997,Under 5,1.59061250746834,1.37842855783949,1.86283516406543,gbd2019
LRI.child,90.9999999999997,Under 5,1.59594491020361,1.38195870751163,1.87043017121587,gbd2019
LRI.child,91.9999999999997,Under 5,1.60125519116962,1.3854763409952,1.87798441738559,gbd2019
LRI.child,92.9999999999997,Under 5,1.60654351048436,1.38949375779227,1.88490801942217,gbd2019
LRI.child,93.9999999999997,Under 5,1.61181002826579,1.39365422515012,1.89163585088995,gbd2019
LRI.child,94.9999999999997,Under 5,1.61705490463191,1.39781405313719,1.89832613391166,gbd2019
LRI.child,95.9999999999997,Under 5,1.6222782997007,1.40197324013228,1.90493461817725,gbd2019
LRI.child,96.9999999999997,Under 5,1.62748037359014,1.40613178451422,1.91101836800203,gbd2019
LRI.child,97.9999999999997,Under 5,1.63266128641821,1.41009684851936,1.91596578962902,gbd2019
LRI.child,98.9999999999997,Under 5,1.63782119830289,1.41263073789377,1.92242848517183,gbd2019
LRI.child,100,Under 5,1.64296026936217,1.41515190335935,1.92915884023214,gbd2019
LRI.child,110,Under 5,1.69323996024142,1.45404889563076,1.99762216386122,gbd2019
LRI.child,120,Under 5,1.74161018704202,1.49066720007142,2.06075770058477,gbd2019
LRI.child,130,Under 5,1.78821595647047,1.52307447558282,2.11823267954913,gbd2019
LRI.child,140,Under 5,1.83318445725846,1.56087018828444,2.17906788769929,gbd2019
LRI.child,150,Under 5,1.87663150680618,1.5940964191391,2.24121767693498,gbd2019
LRI.child,160,Under 5,1.91866507297256,1.62642172734773,2.29217654181773,gbd2019
LRI.child,170,Under 5,1.95936325611746,1.6605793971139,2.34183988195545,gbd2019
LRI.child,180,Under 5,1.99876279465881,1.69257225295116,2.39468443925567,gbd2019
LRI.child,190,Under 5,2.03685558727032,1.71926886169444,2.45046536967958,gbd2019
LRI.child,200,Under 5,2.07358596799339,1.74693936551278,2.49812511156378,gbd2019
LRI.child,210,Under 5,2.10886420571664,1.77500630869227,2.54034044285569,gbd2019
LRI.child,220,Under 5,2.14257222270096,1.80316614432366,2.5870824820457,gbd2019
LRI.child,230,Under 5,2.17456452503304,1.82320142207247,2.63852573490523,gbd2019
LRI.child,240,Under 5,2.20467341213001,1.84729715295283,2.68510557975947,gbd2019
LRI.child,250,Under 5,2.2327182969918,1.86207293260512,2.7258219894748,gbd2019
LRI.child,260,Under 5,2.25855728728301,1.87439488408754,2.75121653979253,gbd2019
LRI.child,270,Under 5,2.28201876188555,1.8959745006736901,2.7833958508605,gbd2019
LRI.child,280,Under 5,2.30295362997312,1.90668091732672,2.82117160751822,gbd2019
LRI.child,290,Under 5,2.3213222611746,1.92292326445213,2.83920144904445,gbd2019
LRI.child,300,Under 5,2.33700671612597,1.93073356111959,2.86428840568619,gbd2019
IHD,0,25-29,1,1,1,gbd2019
IHD,0.01,25-29,1.00038748513857,1.00018595723442,1.00074875546627,gbd2019
IHD,0.02,25-29,1.00077489563486,1.00037191034859,1.00149729007262,gbd2019
IHD,0.03,25-29,1.00116223149991,1.00055785933786,1.00224560385353,gbd2019
IHD,0.04,25-29,1.00154949274475,1.00074380419759,1.00299369684346,gbd2019
IHD,0.05,25-29,1.00193667938041,1.00092974492313,1.00374156907688,gbd2019
