cause,exposure,age,central,low,high,source
LRI.child,0,Under 5,1,1,1,gbd2019
LRI.child,0.01,Under 5,1.00007997181211,1.00004302941794,1.00013382109232,gbd2019
LRI.child,0.02,Under 5,1.00015993995514,1.0000860588345,1.00026763066417,gbd2019
LRI.child,0.03,Under 5,1.00023990442923,1.00012908824969,1.00040142871618,gbd2019
LRI.child,0.04,Under 5,1.00031986523455,1.00017211766351,1.000535215249,gbd2019
LRI.child,0.05,Under 5,1.00039982237127,1.00021514707595,1.00066899026329,gbd2019
LRI.child,0.06,Under 5,1.00047977583953,1.00025817648702,1.0008027537597,gbd2019
LRI.child,0.07,Under 5,1.0005597256395,1.00030120589671,1.00093650573886,gbd2019
LRI.child,0.08,Under 5,1.00063967177134,1.00034423530503,1.00107024620143,gbd2019
LRI.child,0.09,Under 5,1.00071961423522,1.00038726471198,1.00120397514806,gbd2019
LRI.child,0.1,Under 5,1.00079955303128,1.00043029411756,1.0013376925794,gbd2019
LRI.child,0.11,Under 5,1.0008794881597,1.00047332352176,1.00147139849609,gbd2019
LRI.child,0.12,Under 5,1.00095941962062,1.00051635292459,1.00160509289878,gbd2019
LRI.child,0.13,Under 5,1.00103934741422,1.00055938232604,1.00173877578813,gbd2019
LRI.child,0.14,Under 5,1.00111927154065,1.00060241172613,1.00187244716477,gbd2019
LRI.child,0.15,Under 5,1.00119919200006,1.00064544112484,1.00200610702936,gbd2019
LRI.child,0.16,Under 5,1.00127910879263,1.00068847052218,1.00213975538254,gbd2019
LRI.child,0.17,Under 5,1.00135902191851,1.00073149991814,1.00227339222497,gbd2019
LRI.child,0.18,Under 5,1.00143893137787,1.00077452931274,1.00240701755729,gbd2019
LRI.child,0.19,Under 5,1.00151883717085,1.00081755870596,1.00254063138015,gbd2019
LRI.child,0.2,Under 5,1.00159873929763,1.00086058809781,1.0026742336942,gbd2019
LRI.child,0.21,Under 5,1.00167863775835,1.00090361748829,1.00280782450008,gbd2019
LRI.child,0.22,Under 5,1.00175853255319,1.0009466468774,1.00294140379845,gbd2019
LRI.child,0.23,Under 5,1.0018384236823,1.00098967626513,1.00307497158995,gbd2019
LRI.child,0.24,Under 5,1.00191831114585,1.00103270565149,1.00320852787524,gbd2019
LRI.child,0.25,Under 5,1.00199819494398,1.00107573503649,1.00334207265495,gbd2019
LRI.child,0.26,Under 5,1.00207807507687,1.00111876442011,1.00347560592974,gbd2019
LRI.child,0.27,Under 5,1.00215795154467,1.00116179380236,1.00360912770026,gbd2019
LRI.child,0.28,Under 5,1.00223782434755,1.00120482318324,1.00374263796715,gbd2019
LRI.child,0.29,Under 5,1.00231769348565,1.00124785256275,1.00387613673107,gbd2019
LRI.child,0.3,Under 5,1.00239755895915,1.00129088194089,1.00400962399266,gbd2019
LRI.child,0.31,Under 5,1.0024774207682,1.00133391131766,1.00414309975256,gbd2019
LRI.child,0.32,Under 5,1.00255727891297,1.00137694069306,1.00427656401144,gbd2019
LRI.child,0.33,Under 5,1.0026371333936,1.00141997006709,1.00441001676993,gbd2019
LRI.child,0.34,Under 5,1.00271698421028,1.00146299943975,1.00454345802868,gbd2019
LRI.child,0.35,Under 5,1.00279683136314,1.00150602881103,1.00467688778835,gbd2019
