location_id,location_level,iso3,estimate,location_name,country,region,income_group,pop,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,TotCV_Deaths,TotResp_Deaths,TotCV_YLLs,TotResp_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,AllCause_YLDs,TotCV_YLDs,COPD_YLDs,TotResp_YLDs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,birth.rate,labor.partic
160,3,AFG,central,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,796.4313298518766,2922.9332603256184,1027.335967360846,649.8140787921017,379.32741577148437,NA,7.996084119809107,186.07552369651566,308.75368291904573,9372.90680452381,244170.45743894918,143.2368650167561,16.86070318450759,3845.850074879532,426.0164189737832,248.29744830224314,3151.369504493197,6614.146611554708,44.40840788417992,3873.223338263429,5060.2552572055265,151.48278103585793,160.26131017291505,237.18291688043493,8.163998310938021,280.41704989493326,218.70583661967464,86.88407523203135,30.670114736506726,2339.511943986782,8.54087801059625,1.769396744862475,215.0321433452171,39.60025019343302,74.9220866901666,1053.5998410056022,3.122989431957257,0.7392692092583331,85.87695305676714,16.752539591291736,45.89057960918461,452.7382898871474,8.86461906469848,76.92160670751989,239.94089527726751,36.466,48.743
160,3,AFG,high,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,1129.1522349302998,4014.7154135641717,1027.335967360846,649.8140787921017,379.32741577148437,NA,12.017588601132353,294.26101913381956,351.29072878515905,10994.129554219147,244170.45743894918,165.86510731550104,21.26077790900494,4596.150768463453,553.7736885617574,281.82987090490457,4058.334642282827,7724.815525229971,56.96316594130652,4965.8595316325445,6436.307048215209,197.14214491088453,203.41206164429104,297.47021960209617,12.819744587611634,403.09888451614364,360.1063117220662,104.5013578740309,42.796433126072266,2882.7777824585423,11.66481021215559,2.8272569180177105,306.15048945125477,49.04760451780259,98.1830078982529,1343.778515052405,5.052490203689432,1.337702482667088,140.62686977473157,27.901914176565214,81.13559379920207,869.9625361184901,10.830803375227207,117.20634794797598,310.95843151122546,36.466,48.743
160,3,AFG,low,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,520.6011005972227,2042.2409024508488,1027.335967360846,649.8140787921017,379.32741577148437,NA,5.099753004575443,114.90325580501047,269.7251873818617,7942.796182377,244170.45743894918,122.93958434581074,13.303393143086732,3194.970005345964,324.9873929116918,217.03168256139256,2365.735550023359,5624.326694498295,33.74806244418389,2942.9431187331106,3818.7982518998615,110.37674299874402,122.1120507711317,183.01003755079134,4.6389290318376775,186.81245793031027,118.06065450310003,72.34627980695149,20.802853801288343,1890.863871538526,5.961936263980174,1.0066447952656712,145.76956250490832,31.400586011820653,52.62344977439065,811.6976587151216,2.0774279671695877,0.36871401211417176,56.16550781354751,5.6031650060182585,10.645565419167148,35.514043655804755,6.898434754169754,36.63686546706379,168.92335904330957,36.466,48.743
43,3,ALB,central,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,173.3173388548845,615.8091685570854,243.8856163767667,506.0948521094022,90.15098456382752,61.714361623622004,19.32812327262069,265.92735027528687,769.8663275745429,13056.603408385212,449147.42675306805,443.74323214040805,26.90957527524704,6593.782719619623,387.68293246254865,739.7803772074731,8108.190875048729,11958.712290619558,2.4226893409315213,211.1048583334356,10806.538808323365,881.7162752855819,358.01117150006223,484.0398510599939,3.8990716243800216,470.32794617266114,67.32079138033767,215.23211074142176,145.81046141648253,3355.6172297763906,11.23856946829481,1.5789165071060987,163.4688001750446,177.06727409973968,356.52773929101403,2428.1856816991613,38.100484312500555,7.98195393244856,817.3007332822382,51.44384729924661,379.3780745780854,809.9798081440713,7.581452002626349,126.02867955993167,121.75558218726178,10.343,70.373
43,3,ALB,high,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,248.40197391173533,850.5729203367841,243.8856163767667,506.0948521094022,90.15098456382752,61.714361623622004,24.76370890312376,349.44740255903326,894.6485588630634,15356.501905308312,449147.42675306805,518.89605617047755,33.911151118171986,7831.117247443636,500.2908326848998,861.9889725666972,10486.239485586308,14110.167037513993,3.6314313646358936,316.5291965960866,13973.62386740375,1160.9328831413377,449.94358443480354,600.1722578912654,5.209496012752834,673.0886180412089,92.09117320231208,257.41793342458726,204.0514854195779,4092.1598047408706,15.746597882903389,2.5934193737807756,248.99487258818192,209.9302015569158,462.05236720504314,2948.4419069904166,49.93729230152713,12.555134614056318,1080.8992698883974,100.90313887303842,613.8753639941683,1607.841526073441,11.601132879607984,195.11347548912465,189.91690791143222,10.343,70.373
43,3,ALB,low,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,113.22623471097943,429.2232228227515,243.8856163767667,506.0948521094022,90.15098456382752,61.714361623622004,15.183756151788442,201.89832983411364,658.7218683654423,11035.550652925745,449147.42675306805,377.8844243684041,21.404879406390553,5520.492067673302,299.4063032659088,632.5450869371086,6034.494507961785,10094.058160121942,1.5385861392123072,134.05069569342112,8063.158820482315,637.211012320665,275.32782177652206,377.503219443963,2.735919338047616,310.8463602199325,45.91167843002613,178.87172185173947,98.98785732137902,2733.7971457508543,8.289723216850648,0.8590036687779827,112.92762628973728,147.24139187678588,253.98911467642353,1975.0425417238052,28.545289606958637,4.461190813113003,607.0437237908224,1.9845557254548112,144.88078516200247,12.11809021470151,3.5617711256447144,56.94388363073871,53.59425646309134,10.343,70.373
139,3,DZA,central,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,581.3942738311664,2103.504643650224,823.971006577711,1258.5091675708466,312.31328320884705,166.812877104324,8.925709942603977,150.59229260890805,349.87720629491815,7235.068301567004,270734.67010574124,187.86300132043402,12.919296006856523,3312.883082921241,233.3823833654769,318.1908526786565,6531.433131809031,5943.917145134127,1.9378197096051482,168.93719828205522,8323.084340601066,364.68951664040173,271.1299015425696,412.19418487984575,8.77289056306734,524.2637721491901,173.032228552887,117.1440168727112,67.52283660868717,2096.5249359075046,8.841057784926845,3.2395775813928984,160.10863143447273,45.35675017007827,167.16379694684318,762.2673780742151,6.576998913997631,1.501391016590505,155.39377555852963,25.362234277644546,130.00288308487137,454.09076893952124,3.993586064252547,141.06428333727615,82.79009075656884,23.298,45.234
139,3,DZA,high,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,827.449214871815,2891.789740150431,823.971006577711,1258.5091675708466,312.31328320884705,166.812877104324,11.217384095229184,194.67224649423187,364.57976273037326,7572.265926393327,270734.67010574124,199.75127140801598,15.984025136487608,3594.879942540752,293.74774272292586,335.33805488700915,8408.861158423595,6325.498389616398,2.6422935142944692,230.21459203534678,10665.172498371283,477.0813972719259,339.0788306383698,517.4156919209157,11.209046938341418,747.6180014141863,225.92070329711896,131.10858362659465,94.16272869697391,2399.6501529550596,11.691451454541687,5.211490926185354,216.54637971595287,53.41588558773358,215.93906973393797,922.549890928478,8.30193736260429,2.409691214672053,198.6381605326956,25.362234277644546,222.45922707052586,454.09076893952124,5.877598979545011,216.51936938917788,122.55960126340415,23.298,45.234
139,3,DZA,low,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,383.74790786792977,1448.207893769239,823.971006577711,1258.5091675708466,312.31328320884705,166.812877104324,7.005505743204009,112.55257698777324,336.0656574241858,6921.045811088623,270734.67010574124,175.8668718309489,10.332659114700173,3027.4339667059494,179.42322223994668,300.9662419187976,4892.3939688877645,5533.052386286677,1.340469461775765,116.7628615625086,6263.695663846588,262.9494908243724,209.12169993950116,318.26063709206534,6.638462593664574,347.53016311247404,127.103587116384,104.95136805062735,45.58541965066599,1833.0404086210856,6.802325881933495,1.8071638739850124,116.59370668725919,37.788899671010235,119.5024779655195,613.8242293420428,5.11630165048122,0.8133803281123596,118.99627115464877,25.362234277644546,37.54653909921687,454.09076893952124,2.1095731489600826,65.60919728537444,43.02058024973354,23.298,45.234
298,3,ASM,central,American Samoa,American Samoa,East Asia & Pacific,High income,55504.94583680459,1140.6480744575183,4915.209895279237,1160.836626873634,1201.4421254651763,NA,NA,22.410236848974343,482.0283778642079,545.3402806342201,14098.484283983767,NA,176.96180299041487,29.639558059412135,4362.182933001282,671.578245536143,498.5382125245566,6201.11438834144,12278.573519211348,2.3706439049594543,206.30279045762114,7565.066670047461,387.2981120545235,321.4000263828562,545.094954587056,53.96519717579038,1411.915389872789,1311.83763572627,89.25840218284567,60.64226731656382,2222.07083441313,21.252322863639957,3.91600234410684,512.0521430261043,54.0677459888578,208.5370293809724,1272.2467612564285,17.975666213964878,3.975606583419985,444.2742211007219,33.6356548187114,118.11881535698728,867.8653373317238,7.229321210437792,223.6949282041998,189.54986767193503,16.6,NA
