location_id,location_level,iso3,estimate,location_name,country,region,income_group,pop,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,TotCV_Deaths,TotResp_Deaths,TotCV_YLLs,TotResp_YLLs,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_Deaths,LRI.child_YLLs,AllCause_YLDs,COPD_YLDs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,OthCV_Deaths,OthCV_YLDs,OthCV_YLLs,OthResp_Deaths,OthResp_YLDs,OthResp_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,TotCV_YLDs,TotResp_YLDs,birth.rate,labor.partic
160,3,AFG,central,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,421.8726250349454,1672.5049975002996,1027.335967360846,649.8140787921017,386.3177087402343,NA,9.858243170634289,231.61459393474556,295.4580219379212,9440.806604492143,224343.99360533536,119.01867871224633,15.410844600317747,3108.984698266697,376.1460076357097,215.02849235244068,2534.889135391772,5715.493178095198,22.169117188336163,1979.677848031387,4072.5035921137724,39.50510009131375,8.21665834882088,316.7642737433159,219.94022121826603,60.36066811551694,13.863374024663218,1635.381211020865,2.424061852872734,0.5566755691538133,72.11016975179723,9.732317465285371,0.704363882125184,265.40275027506425,20.477147846279482,39.59785556910915,507.43055729409434,5.552601429683479,48.15304904222855,144.53141370096392,38.18086275044998,45.171192489490466,966.1729299517351,98.63242208326287,87.65814913354232,37.138,44.991
160,3,AFG,high,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,655.1680508898728,2253.016597277107,1027.335967360846,649.8140787921017,386.3177087402343,NA,12.772186217084318,302.77915831436894,360.44215898205016,11880.403886081962,224343.99360533536,144.12185165531133,20.275335270503746,3923.6043459827183,518.5838516832404,262.79976401391696,3318.860920028648,7268.17623672971,29.45576068835971,2630.2298075293584,5274.833685027434,46.543559853117145,10.91401832751983,450.33621482378027,299.2753941160198,75.60389168321193,19.405526547685223,2106.1450650179195,3.533905064291291,0.8974829933839964,103.66787211669593,12.065466199306213,0.9981896691699801,344.67736462417264,27.84250930273891,48.781988506555614,695.0804263249936,8.167856963687141,65.49688947052675,208.82633663111528,48.452842074658356,57.267182098430155,1253.7007398453622,129.09643196283022,108.88979191932562,37.138,44.991
160,3,AFG,low,Afghanistan,Afghanistan,South Asia,Low income,38277536.31659593,269.9203551552921,1244.497023684017,1027.335967360846,649.8140787921017,386.3177087402343,NA,7.108634849791121,166.7361635115345,236.8798520281572,7516.759569974331,224343.99360533536,94.08583686006271,11.311535757372424,2424.4601164194873,273.15656125651856,167.26083642266838,1850.305478926469,4329.4590266543355,16.26739983622485,1452.3703688662524,3006.713047619844,32.68265281382527,6.230237001973298,215.46652478297176,164.84074793810345,45.99418554377481,9.236618977270963,1223.7681644053575,1.6221624370476735,0.3218125093039751,47.335957383349964,7.362787787615276,0.47075238926723273,199.08778472332787,13.111786389820054,30.413722631662687,319.7806882631951,2.9373458956798166,30.80920861393035,80.23649077081257,28.213365390349622,32.715595117755036,704.9381692136346,73.13899788446686,68.34730291883884,37.138,44.991
43,3,ALB,central,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,201.1162722237654,858.0675540579058,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,23.590663116627983,375.29110043872464,834.1444632266508,15185.91692418208,445322.9412063979,506.8955796442714,31.37057752896345,8088.014069622601,518.2960990900827,802.141134986765,7919.4874584428435,14087.291816698944,1.8755968140525061,167.04639398524384,10055.947571113002,156.81371565094574,7.331315396350849,459.3583970888662,134.92123125393724,232.59697610641805,114.10890118955925,3866.754623098851,40.45632307798929,9.176900500438615,943.5191167237592,18.079968081171963,1.0555543134626648,314.813453315623,53.65535548996396,290.14518679808896,902.3649057043751,7.779914412335487,67.80000033687209,143.00499865135788,220.6432480478896,204.8963169082106,3318.894540819367,609.1504048958589,224.6137159878179,10.757,69.661
43,3,ALB,high,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,326.82309892075875,1274.5938282897484,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,31.56396198064375,508.8684442628602,914.561475134536,16830.895317765735,445322.9412063979,565.0376218469877,40.52471632972179,9071.086129920435,677.3991807765597,884.5787416337753,10376.162127932028,15703.750995222135,2.570480881439878,229.0084706828374,13063.13814257617,190.91401738990777,9.186342743010897,664.6412633306323,169.14695096365796,263.29404517463263,161.6234039363752,4403.563157906611,53.08701902674133,13.334779055157771,1235.5490819454817,23.595643087345206,1.4703182010665423,398.64846708048526,61.717569573474336,361.9887383933062,1039.3011116543753,9.713879856414366,90.55264408427514,179.23807898748706,255.993644370978,260.4616979716284,3925.7396312187348,801.8417924071302,273.6053425971104,10.757,69.661
43,3,ALB,low,Albania,Albania,Europe & Central Asia,Upper middle income,2720353.0608179104,115.40327467904011,572.7203374689949,243.8856163767667,506.0948521094022,93.75946446418763,64.184606785778,18.425831242666597,293.3525777835713,765.236631692573,13826.164170840893,445322.9412063979,454.7781832256343,24.662591371728677,7227.302012147109,413.849974804696,732.2196528425059,5862.118310781117,12747.14374409663,1.307506593553457,116.37726620247835,7483.080635919169,125.30283851608087,6.034685563637562,309.8626258497174,109.1954881486022,203.6727444290998,72.71622694131274,3369.834780411321,29.523765019523413,5.887381240644702,689.562957127126,14.647261415678669,0.7248447775359287,254.73687186160052,45.59314140645358,218.30163520287172,765.4286997543749,5.845948968256609,45.04735658946903,106.7719183152287,186.8323129336813,145.29533832509003,2798.780906705149,427.1766690831658,180.6824371295227,10.757,69.661
139,3,DZA,central,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,346.3859828951074,1401.371468930087,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,12.232589110363232,219.9304587020297,395.8326630519364,8728.093548744726,273062.24418970686,223.9334571461549,17.888627314246936,4276.612477822904,338.6352318824781,356.97479560945555,6521.974223357696,7140.612276550696,2.2866299158748196,204.17500981344855,8191.671363474578,121.54970306700412,11.916092257490316,639.7737668824551,252.9104921386183,121.18396795073622,51.232046026101074,2380.3810816450527,5.2260442932244535,1.162415246413868,131.66896358058077,10.92721272941309,1.4815632654902156,211.55554389832093,40.44466592870369,139.95220578578682,763.4262255894048,5.656038203883677,64.78379926155424,118.70477318044894,62.304823266714756,135.57574906699125,1132.8051705884443,326.7600008788789,186.33350232855818,23.379,45.685
139,3,DZA,high,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,560.7471656989192,2036.8916172773218,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,15.103406564364622,268.3955703115433,445.16589040169646,9961.176142800761,273062.24418970686,254.2779374886194,21.738733885102477,4938.192483806367,412.4893102092611,404.38272161295595,8534.467760325533,8237.34569389582,2.9759325920049706,265.8447499919697,10661.80116892936,143.73792261922117,14.346190165362925,905.2086994561824,308.5941887453566,142.41552007585923,71.44890968912057,2849.016058716002,6.601868928748131,1.6412091725466054,164.79660277314963,13.752866038081574,2.055021710296149,267.58385379541375,50.36562527549165,173.9820086786404,942.8825482591119,6.8300292371654105,87.85727064637008,143.0725379872675,77.58042652531168,170.0072885789944,1429.5255298003588,426.3591125994473,222.97186951587125,23.379,45.685
139,3,DZA,low,Algeria,Algeria,Middle East & North Africa,Upper middle income,41847289.67978317,206.98490788408023,948.1541322991994,823.971006577711,1258.5091675708466,313.39910070133215,167.392834312902,9.838028614759471,177.03956716952038,351.5501821069799,7636.084611058094,273062.24418970686,195.67856729113697,14.538561245757789,3688.8498538053886,276.17008791659237,315.1741216491742,4822.4521476169775,6185.271900848398,1.7312753863770822,154.43306214955686,6122.308995948439,100.4837500566809,9.86815671843465,428.8317333269103,207.99470963733532,99.62447057962544,33.79167620283673,1957.5093106389447,4.1551869519702835,0.7523283246211339,105.59001484447086,8.865812380206133,0.9748422678548355,171.62157570079552,30.523706581915732,105.92240289293325,583.9699029196977,4.482047170601943,41.71032787673839,94.33700837363037,49.85897938138434,98.26760425204075,899.9863945299464,236.3511039326823,152.32919549127746,23.379,45.685
298,3,ASM,central,American Samoa,American Samoa,East Asia & Pacific,High income,55504.94583680459,200.96986099440218,866.5869610345618,1160.836626873634,1201.4421254651763,NA,NA,31.047828239382287,630.372658451118,673.7387077387162,17782.71542508607,NA,242.0694442408973,39.18947594883426,6138.706483984113,846.1252171359286,616.5586515696634,6225.224933142043,15641.599650550042,2.7159342253705003,242.18554211862516,7478.174386520023,107.24915806882547,85.68620583783154,1435.5986322054384,2208.7747302218577,131.935406669671,40.76360513228282,3412.9523376498114,21.695963643090188,4.6375672020538055,558.8554121504283,19.379391461053313,2.1247696520997725,465.05720755513886,31.5396897533138,110.3443732516637,847.4799355473444,8.141647709452013,29.17418411827625,215.7525586848114,78.59434781791244,186.22642205867484,1878.2742107869583,337.33440044262056,136.42334218710164,16.304,NA
