Outcome,Valuation.at.world.avg.GDP.2011.IntlDollars,Valuation.in.IDN.2011.IntlDollars,Valuation.in.IDN.2019USD,Valuation.in.IDN.2019IDR
preterm births,105725,78474.32596042502,27474.65121804498,388702337.2625094
work absence (sick leave days),85,63.09120554869829,22.088865959175436,312506.01718905935
years of life lost,39324,30071.3273070477,10528.274302623046,148950565.24257475
years lived with disability,31047,23044.619513769834,8068.1531933472925,114145580.18433796
number of children suffering from asthma due to pollution exposure (increased prevalence),1168,866.9473891868189,303.52700518019896,4294200.330315545
asthma emergency room visits,252,187.04686821496435,65.48699084367306,926488.4274310938
