estimate,iso3,Outcome,Cause,Pollutant,scenario,region_name,year,number,cost.USD
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2037,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2038,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2039,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2040,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2041,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2042,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2043,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2044,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2045,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2046,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2047,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2048,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2049,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2050,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2051,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2052,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2053,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2054,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2055,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2056,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2057,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2058,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2059,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,opr_all,Kepulauan Talaud,2060,0.007913742907750347,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1980,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1981,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1982,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1983,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1984,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1985,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1986,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1987,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1988,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1989,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1990,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1991,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1992,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1993,0.008123534450329211,0
central,IDN,Absences,Absences,PM25,oprnew_a,Kepulauan Talaud,1994,0.008123534450329211,0
