scenario,iso3,estimate,cost.LCU,cost.USD
scenario1,IRN,central,68813.8093704848,2.000838659150276
scenario1,IRN,high,85384.91194419238,2.4826620454376207
scenario1,IRN,low,51223.117353919464,1.489369566682825
scenario1,IRQ,central,0,0
scenario1,IRQ,high,0,0
scenario1,IRQ,low,0,0
scenario1,ISR,central,0,0
scenario1,ISR,high,0,0
scenario1,ISR,low,0,0
scenario1,ITA,central,0,0
scenario1,ITA,high,0,0
scenario1,ITA,low,0,0
scenario1,JOR,central,0,0
scenario1,JOR,high,0,0
scenario1,JOR,low,0,0
scenario1,JPN,central,54840.120087141695,503.07575602529744
scenario1,JPN,high,69413.37067499793,636.7634475471635
scenario1,JPN,low,41544.82435881753,381.1113814127254
scenario1,KAZ,central,640.6242189432094,1.6737524182227008
scenario1,KAZ,high,862.1537729605719,2.252540443683267
scenario1,KAZ,low,446.22177870437395,1.165839128595745
scenario1,KEN,central,0,0
scenario1,KEN,high,0,0
scenario1,KEN,low,0,0
scenario1,KGZ,central,27.169421105139442,0.3893061251336761
scenario1,KGZ,high,35.53116520300022,0.5091201683368927
scenario1,KGZ,low,18.66842018769695,0.26749669407806437
scenario1,KHM,central,36194.51576840637,8.912383113351995
scenario1,KHM,high,50826.16172471955,12.515217177384901
scenario1,KHM,low,22976.280504027694,5.6575812667862415
scenario1,KOR,central,180815.57080057316,155.15888540690182
scenario1,KOR,high,236609.01966342307,203.03556605026668
scenario1,KOR,low,131431.9462772618,112.78251204223777
scenario1,KWT,central,0,0
scenario1,KWT,high,0,0
scenario1,KWT,low,0,0
scenario1,LAO,central,88885.21516010433,9.887956718847434
scenario1,LAO,high,127907.11736249508,14.228913528923565
scenario1,LAO,low,54872.502478578914,6.104242742572216
scenario1,LBN,central,0,0
scenario1,LBN,high,0,0
scenario1,LBN,low,0,0
scenario1,LBY,central,0,0
scenario1,LBY,high,0,0
scenario1,LBY,low,0,0
scenario1,LIE,central,0,0
scenario1,LIE,high,0,0
scenario1,LIE,low,0,0
scenario1,LKA,central,3833.6971249191156,21.44786858209166
scenario1,LKA,high,5877.447816400875,32.8817651099465
scenario1,LKA,low,2373.300505173504,13.27758445233125
scenario1,LSO,central,20.57645454733482,1.4237987342292826
scenario1,LSO,high,31.152455617351208,2.1556107624898693
scenario1,LSO,low,11.945284982632499,0.8265603580614495
scenario1,LTU,central,0,0
scenario1,LTU,high,0,0
scenario1,LTU,low,0,0
scenario1,LUX,central,0,0
scenario1,LUX,high,0,0
scenario1,LUX,low,0,0
scenario1,LVA,central,0,0
scenario1,LVA,high,0,0
scenario1,LVA,low,0,0
scenario1,MAC,central,1.8690570387489576,0.23159123211064464
scenario1,MAC,high,2.442771544400598,0.3026790836256239
scenario1,MAC,low,1.1969660571518437,0.1483137422900494
scenario1,MCO,central,0,0
scenario1,MCO,high,0,0
scenario1,MCO,low,0,0
scenario1,MDA,central,0,0
scenario1,MDA,high,0,0
scenario1,MDA,low,0,0
